cell_id,Arremon flavirostris,Arremon flavirostris polionotus,Arremon flavirostris flavirostris
83a813fffffffff,1.0,0.0,1.0
83a835fffffffff,2.0,0.0,0.0
83a94dfffffffff,8.0,0.0,0.0
83a953fffffffff,8.0,1.0,0.0
83a95efffffffff,2.0,0.0,0.0
83a961fffffffff,74.0,0.0,0.0
83a965fffffffff,29.0,0.0,0.0
83a96cfffffffff,7.0,0.0,0.0
83a96efffffffff,6.0,0.0,0.0
83b269fffffffff,9.0,0.0,0.0
83b26dfffffffff,14.0,0.0,0.0
83b349fffffffff,3.0,0.0,0.0
83b34bfffffffff,1.0,0.0,0.0
83b34dfffffffff,6.0,0.0,0.0
83c2cafffffffff,2.0,0.0,0.0
83c2cbfffffffff,12.0,0.0,0.0
