cell_id,Hydrobates leucorhous,Hydrobates leucorhous leucorhous,Hydrobates leucorhous chapmani
83069afffffffff,2.0,0.0,0.0
830745fffffffff,1.0,0.0,0.0
83074efffffffff,5.0,0.0,0.0
830755fffffffff,4.0,0.0,0.0
83075dfffffffff,2.0,0.0,0.0
8309a6fffffffff,1.0,1.0,0.0
830c41fffffffff,8.0,0.0,0.0
830c42fffffffff,2.0,0.0,0.0
830c4dfffffffff,1.0,0.0,0.0
830c51fffffffff,2.0,0.0,0.0
830c58fffffffff,2.0,0.0,0.0
830c6bfffffffff,2.0,0.0,0.0
830c73fffffffff,2.0,0.0,0.0
830cc9fffffffff,6.0,0.0,0.0
830ccbfffffffff,2.0,0.0,0.0
830cccfffffffff,1.0,0.0,0.0
830cd9fffffffff,9.0,0.0,0.0
830cdafffffffff,2.0,0.0,0.0
830cdbfffffffff,2.0,1.0,0.0
830cdefffffffff,6.0,0.0,0.0
830ceefffffffff,2.0,0.0,0.0
830e49fffffffff,20.0,0.0,0.0
8312b0fffffffff,3.0,0.0,0.0
8312b3fffffffff,2.0,0.0,0.0
831393fffffffff,2.0,0.0,0.0
83139efffffffff,6.0,0.0,0.0
83165efffffffff,1.0,1.0,0.0
831801fffffffff,6.0,0.0,0.0
831805fffffffff,18.0,0.0,0.0
831823fffffffff,3.0,0.0,0.0
831849fffffffff,27.0,0.0,0.0
83184afffffffff,18.0,0.0,0.0
83184bfffffffff,35.0,0.0,0.0
831859fffffffff,3.0,0.0,0.0
83185bfffffffff,6.0,0.0,0.0
83186cfffffffff,1.0,0.0,0.0
831874fffffffff,1.0,0.0,0.0
83191dfffffffff,2.0,0.0,0.0
83192cfffffffff,1.0,1.0,0.0
831940fffffffff,2.0,0.0,0.0
831941fffffffff,3.0,0.0,0.0
831943fffffffff,1.0,0.0,0.0
831948fffffffff,5.0,3.0,0.0
83194cfffffffff,1.0,0.0,0.0
83194efffffffff,2.0,0.0,0.0
831951fffffffff,1.0,0.0,0.0
831958fffffffff,2.0,0.0,0.0
83195bfffffffff,2.0,0.0,0.0
83195dfffffffff,3.0,0.0,0.0
831972fffffffff,1.0,0.0,0.0
831973fffffffff,3.0,0.0,0.0
831a02fffffffff,1.0,0.0,0.0
831aa0fffffffff,13.0,0.0,0.0
831aa2fffffffff,2.0,0.0,0.0
831aa3fffffffff,4.0,0.0,0.0
831ab0fffffffff,2.0,0.0,0.0
831ae2fffffffff,2.0,0.0,0.0
831ae6fffffffff,2.0,0.0,0.0
831af2fffffffff,2.0,0.0,0.0
831b98fffffffff,2.0,0.0,0.0
831b9cfffffffff,1.0,0.0,0.0
831d20fffffffff,2.0,0.0,0.0
831d64fffffffff,8.0,0.0,0.0
831f2efffffffff,4.0,0.0,0.0
831f72fffffffff,2.0,0.0,0.0
831fb4fffffffff,1.0,0.0,0.0
83225afffffffff,1.0,0.0,0.0
8322dbfffffffff,11.0,0.0,0.0
832800fffffffff,2.0,0.0,0.0
832802fffffffff,2.0,0.0,0.0
832803fffffffff,84.0,17.0,0.0
832804fffffffff,35.0,35.0,0.0
83280afffffffff,3.0,0.0,0.0
83280efffffffff,11.0,0.0,0.0
832819fffffffff,42.0,20.0,0.0
83281dfffffffff,76.0,44.0,0.0
832822fffffffff,48.0,31.0,0.0
832830fffffffff,2.0,0.0,0.0
832831fffffffff,31.0,9.0,0.0
832834fffffffff,229.0,116.0,2.0
832835fffffffff,186.0,5.0,0.0
832836fffffffff,2.0,0.0,0.0
8328c0fffffffff,74.0,27.0,0.0
8328c2fffffffff,7.0,0.0,0.0
8328c3fffffffff,9.0,0.0,0.0
8328c4fffffffff,32.0,27.0,0.0
8328c6fffffffff,52.0,0.0,0.0
8328d1fffffffff,8.0,0.0,0.0
8328d5fffffffff,20.0,0.0,0.0
8328d8fffffffff,2.0,0.0,0.0
8328dcfffffffff,16.0,2.0,0.0
8328e2fffffffff,19.0,0.0,0.0
8328e4fffffffff,5.0,0.0,0.0
8328e6fffffffff,7.0,0.0,0.0
8328f1fffffffff,6.0,0.0,0.0
8328f5fffffffff,2.0,0.0,0.0
832904fffffffff,1.0,0.0,0.0
832910fffffffff,16.0,0.0,15.0
832912fffffffff,10.0,1.0,9.0
832913fffffffff,10.0,3.0,5.0
832916fffffffff,25.0,0.0,9.0
832918fffffffff,43.0,41.0,0.0
83291afffffffff,91.0,49.0,1.0
83291bfffffffff,53.0,10.0,0.0
83291cfffffffff,1.0,0.0,0.0
83291dfffffffff,1.0,1.0,0.0
83291efffffffff,22.0,0.0,0.0
832923fffffffff,4.0,0.0,0.0
832926fffffffff,2.0,0.0,0.0
832931fffffffff,4.0,0.0,0.0
8329a4fffffffff,1208.0,77.0,748.0
8329a5fffffffff,122.0,0.0,66.0
8329adfffffffff,3.0,1.0,0.0
832a00fffffffff,196.0,0.0,0.0
832a01fffffffff,2.0,0.0,0.0
832a02fffffffff,231.0,0.0,0.0
832a04fffffffff,43.0,0.0,0.0
832a05fffffffff,322.0,0.0,0.0
832a06fffffffff,1.0,0.0,0.0
832a10fffffffff,13.0,0.0,0.0
832a11fffffffff,1.0,0.0,0.0
832a12fffffffff,1.0,0.0,0.0
832a13fffffffff,11.0,0.0,0.0
832a14fffffffff,2.0,0.0,0.0
832a15fffffffff,10.0,0.0,0.0
832a18fffffffff,343.0,0.0,0.0
832a1afffffffff,48.0,0.0,0.0
832a1bfffffffff,46.0,0.0,0.0
832a1cfffffffff,452.0,0.0,0.0
832a1efffffffff,5.0,0.0,0.0
832a21fffffffff,2.0,0.0,0.0
832a23fffffffff,3.0,0.0,0.0
832a25fffffffff,1.0,1.0,0.0
832a2cfffffffff,1.0,0.0,0.0
832a2efffffffff,7.0,0.0,0.0
832a30fffffffff,76.0,0.0,0.0
832a31fffffffff,215.0,10.0,0.0
832a32fffffffff,3.0,0.0,0.0
832a33fffffffff,4.0,0.0,0.0
832a34fffffffff,148.0,0.0,0.0
832a4cfffffffff,6.0,0.0,0.0
832a84fffffffff,1.0,0.0,0.0
832a89fffffffff,6.0,0.0,0.0
832aa0fffffffff,2.0,0.0,0.0
832aa1fffffffff,8.0,0.0,0.0
832aa4fffffffff,5.0,0.0,0.0
832aa9fffffffff,3.0,0.0,0.0
832aaafffffffff,1.0,0.0,0.0
832aacfffffffff,29.0,0.0,0.0
832aadfffffffff,6.0,0.0,0.0
832ac6fffffffff,80.0,2.0,0.0
832ad5fffffffff,2.0,0.0,0.0
832af0fffffffff,3.0,0.0,0.0
832af1fffffffff,4.0,0.0,0.0
832af3fffffffff,1.0,0.0,0.0
832af4fffffffff,13.0,4.0,0.0
832af5fffffffff,6.0,0.0,0.0
832af6fffffffff,3.0,0.0,0.0
