cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
834501fffffffff,37.0,0.0,0.0
834505fffffffff,21.0,0.0,0.0
834508fffffffff,31.0,3.0,0.0
83450afffffffff,94.0,2.0,0.0
83450bfffffffff,45.0,0.0,0.0
83450cfffffffff,60.0,1.0,0.0
83450dfffffffff,3.0,0.0,0.0
83450efffffffff,270.0,11.0,0.0
834520fffffffff,180.0,0.0,0.0
834521fffffffff,173.0,0.0,0.0
834522fffffffff,132.0,0.0,0.0
834523fffffffff,105.0,0.0,0.0
834524fffffffff,1.0,0.0,0.0
834525fffffffff,34.0,0.0,0.0
834526fffffffff,469.0,0.0,0.0
834528fffffffff,503.0,0.0,0.0
834529fffffffff,14.0,0.0,0.0
83452afffffffff,476.0,0.0,0.0
83452bfffffffff,66.0,0.0,0.0
83452cfffffffff,311.0,0.0,0.0
83452dfffffffff,154.0,8.0,0.0
83452efffffffff,1907.0,0.0,0.0
834530fffffffff,19.0,0.0,0.0
834531fffffffff,8.0,0.0,0.0
834532fffffffff,8.0,0.0,0.0
834534fffffffff,39.0,0.0,0.0
834535fffffffff,43.0,0.0,0.0
834536fffffffff,30.0,0.0,0.0
834564fffffffff,4.0,0.0,0.0
834576fffffffff,1.0,0.0,0.0
8349b1fffffffff,4.0,0.0,0.0
8349b5fffffffff,31.0,0.0,0.0
836608fffffffff,3.0,0.0,0.0
83660afffffffff,31.0,0.0,0.0
836610fffffffff,255.0,0.0,0.0
836611fffffffff,16.0,0.0,0.0
836612fffffffff,5.0,0.0,0.0
836613fffffffff,186.0,0.0,0.0
836616fffffffff,124.0,0.0,0.0
836619fffffffff,2.0,0.0,0.0
83661afffffffff,59.0,1.0,0.0
83661bfffffffff,13.0,0.0,0.0
83661cfffffffff,44.0,0.0,0.0
83661efffffffff,21.0,0.0,0.0
8366a0fffffffff,83.0,0.0,0.0
8366a5fffffffff,1898.0,0.0,0.0
8366a6fffffffff,7.0,0.0,0.0
8366b0fffffffff,513.0,0.0,0.0
8366b1fffffffff,8.0,0.0,0.0
8366b4fffffffff,576.0,0.0,0.0
8366b5fffffffff,272.0,0.0,0.0
8366b6fffffffff,24.0,0.0,0.0
8366d0fffffffff,82.0,6.0,0.0
8366d2fffffffff,38.0,7.0,0.0
8366d3fffffffff,270.0,41.0,0.0
8366d5fffffffff,14.0,0.0,0.0
8366f0fffffffff,397.0,6.0,0.0
8366f1fffffffff,6.0,0.0,0.0
8366f3fffffffff,14.0,0.0,0.0
836792fffffffff,2.0,0.0,0.0
836793fffffffff,9.0,0.0,0.0
836796fffffffff,32.0,0.0,0.0
83679afffffffff,2585.0,0.0,0.0
83679bfffffffff,522.0,0.0,0.0
836d05fffffffff,17.0,0.0,0.0
836d20fffffffff,2.0,0.0,0.0
836d21fffffffff,70.0,6.0,0.0
836d22fffffffff,4.0,0.0,0.0
836d23fffffffff,12.0,0.0,0.0
836d2cfffffffff,99.0,14.0,0.0
836d2dfffffffff,27.0,0.0,0.0
836d30fffffffff,40.0,0.0,0.0
836d31fffffffff,18.0,2.0,0.0
836d33fffffffff,44.0,10.0,0.0
836d34fffffffff,7.0,0.0,0.0
836d35fffffffff,19.0,0.0,0.0
836d60fffffffff,4.0,0.0,0.0
836d61fffffffff,63.0,0.0,0.0
836d63fffffffff,5.0,0.0,0.0
836d64fffffffff,5.0,0.0,0.0
836d65fffffffff,561.0,0.0,0.0
836d66fffffffff,20.0,0.0,0.0
836d68fffffffff,848.0,0.0,0.0
836d69fffffffff,4303.0,0.0,0.0
836d6afffffffff,4.0,0.0,0.0
836d6bfffffffff,383.0,0.0,0.0
836d6dfffffffff,296.0,0.0,0.0
836d6efffffffff,58.0,0.0,0.0
836d74fffffffff,16.0,0.0,0.0
836d75fffffffff,13.0,0.0,0.0
838f2cfffffffff,51.0,0.0,0.0
