cell_id,Geokichla guttata,Geokichla guttata maxis,Geokichla guttata lippensi,Geokichla guttata [guttata Group]
847b4cbffffffff,1.0,0.0,0.0,0.0
847b591ffffffff,2.0,0.0,0.0,0.0
847b595ffffffff,14.0,0.0,0.0,0.0
847b597ffffffff,20.0,0.0,0.0,0.0
84bcd6dffffffff,4.0,0.0,0.0,0.0
