cell_id,Upucerthia validirostris,Upucerthia validirostris jelskii/saturata,Upucerthia validirostris validirostris
848e663ffffffff,1.0,1.0,0.0
848f5e1ffffffff,2.0,0.0,0.0
848f5ebffffffff,2.0,2.0,0.0
84b22cbffffffff,4.0,4.0,0.0
84b2725ffffffff,2.0,0.0,2.0
84b2e33ffffffff,1.0,0.0,1.0
84b2ee1ffffffff,1.0,0.0,1.0
84b2ee3ffffffff,3.0,0.0,3.0
84b2ee9ffffffff,2.0,0.0,2.0
84b3089ffffffff,2.0,0.0,0.0
84b3289ffffffff,2.0,0.0,0.0
84b32dbffffffff,2.0,0.0,0.0
84b342dffffffff,6.0,2.0,0.0
84b3517ffffffff,3.0,2.0,1.0
84b3537ffffffff,2.0,2.0,0.0
84b3541ffffffff,4.0,4.0,0.0
84b354bffffffff,1.0,1.0,0.0
84b3551ffffffff,2.0,0.0,2.0
84b355dffffffff,1.0,1.0,0.0
84b35a7ffffffff,11.0,0.0,9.0
84b35e1ffffffff,1.0,1.0,0.0
84b3733ffffffff,26.0,21.0,4.0
