cell_id,Cercotrichas leucophrys,Cercotrichas leucophrys [leucoptera Group],Cercotrichas leucophrys [leucophrys Group]
825287fffffffff,2.0,0.0,0.0
82529ffffffffff,2.0,0.0,0.0
8252b7fffffffff,1.0,0.0,0.0
8252cffffffffff,2.0,0.0,0.0
826a4ffffffffff,13.0,4.0,0.0
826a5ffffffffff,128.0,0.0,0.0
826ac7fffffffff,149.0,0.0,0.0
826acffffffffff,285.0,0.0,0.0
826adffffffffff,63.0,0.0,0.0
826aeffffffffff,130.0,0.0,9.0
827a1ffffffffff,2.0,0.0,0.0
827a47fffffffff,371.0,1.0,0.0
827a4ffffffffff,391.0,0.0,0.0
827a57fffffffff,6.0,0.0,0.0
827a5ffffffffff,13.0,0.0,0.0
827a67fffffffff,791.0,0.0,18.0
827a6ffffffffff,940.0,0.0,5.0
827a77fffffffff,18.0,0.0,0.0
827ac7fffffffff,2.0,2.0,0.0
827acffffffffff,16.0,7.0,0.0
827adffffffffff,150.0,64.0,0.0
827aeffffffffff,202.0,94.0,0.0
827b4ffffffffff,28.0,0.0,1.0
827b5ffffffffff,16.0,0.0,0.0
827b6ffffffffff,9.0,0.0,0.0
8282a7fffffffff,5.0,0.0,0.0
828307fffffffff,7.0,0.0,5.0
828317fffffffff,5.0,0.0,0.0
82831ffffffffff,10.0,0.0,1.0
828327fffffffff,19.0,0.0,2.0
828337fffffffff,7.0,0.0,0.0
828387fffffffff,1.0,0.0,0.0
82838ffffffffff,1.0,0.0,0.0
82839ffffffffff,17.0,0.0,0.0
8283a7fffffffff,5.0,0.0,0.0
8283affffffffff,2.0,0.0,0.0
829607fffffffff,54.0,0.0,11.0
82960ffffffffff,39.0,0.0,3.0
829617fffffffff,14.0,0.0,6.0
829627fffffffff,98.0,0.0,7.0
82962ffffffffff,77.0,0.0,10.0
829637fffffffff,4.0,0.0,0.0
829657fffffffff,7.0,0.0,2.0
829667fffffffff,2.0,0.0,0.0
829677fffffffff,13.0,0.0,0.0
82968ffffffffff,2.0,0.0,0.0
829697fffffffff,662.0,0.0,43.0
82969ffffffffff,4.0,0.0,0.0
8296a7fffffffff,15.0,0.0,0.0
8296affffffffff,4.0,0.0,0.0
8296b7fffffffff,267.0,0.0,28.0
8296e7fffffffff,1.0,0.0,0.0
829707fffffffff,70.0,0.0,2.0
82970ffffffffff,24.0,0.0,1.0
829717fffffffff,146.0,0.0,0.0
82971ffffffffff,34.0,0.0,0.0
829727fffffffff,35.0,0.0,8.0
82972ffffffffff,480.0,0.0,191.0
829737fffffffff,33.0,0.0,0.0
829747fffffffff,60.0,0.0,1.0
82974ffffffffff,322.0,0.0,97.0
829757fffffffff,258.0,0.0,29.0
82975ffffffffff,152.0,0.0,20.0
829777fffffffff,14.0,0.0,0.0
82978ffffffffff,14.0,0.0,0.0
82979ffffffffff,9.0,0.0,0.0
8297affffffffff,14.0,0.0,0.0
8297b7fffffffff,4.0,0.0,0.0
82ac17fffffffff,2.0,0.0,0.0
82ac87fffffffff,240.0,0.0,49.0
82ac8ffffffffff,24.0,0.0,0.0
82ac97fffffffff,62.0,0.0,5.0
82ac9ffffffffff,5.0,0.0,0.0
82aca7fffffffff,165.0,0.0,18.0
82acb7fffffffff,89.0,0.0,11.0
82ad9ffffffffff,2.0,0.0,0.0
82bc0ffffffffff,8.0,0.0,2.0
82bc1ffffffffff,8.0,0.0,0.0
82bc57fffffffff,5.0,0.0,1.0
82bc77fffffffff,16.0,0.0,0.0
82bc8ffffffffff,117.0,0.0,42.0
82bc9ffffffffff,9.0,0.0,0.0
82bcc7fffffffff,17.0,0.0,7.0
82bccffffffffff,27.0,0.0,0.0
82bcd7fffffffff,1451.0,0.0,319.0
82bcdffffffffff,545.0,0.0,102.0
82bce7fffffffff,59.0,0.0,24.0
82bceffffffffff,4.0,0.0,0.0
82bcf7fffffffff,1043.0,0.0,185.0
