cell_id,Lanio leucothorax,Lanio leucothorax leucothorax,Lanio leucothorax [melanopygius Group]
834530fffffffff,30.0,0.0,0.0
834532fffffffff,18.0,0.0,0.0
834536fffffffff,55.0,0.0,0.0
8366a0fffffffff,8.0,0.0,0.0
8366b0fffffffff,820.0,0.0,0.0
8366b1fffffffff,20.0,0.0,0.0
8366b4fffffffff,236.0,0.0,0.0
8366b5fffffffff,75.0,0.0,0.0
8366b6fffffffff,2.0,0.0,0.0
836796fffffffff,58.0,0.0,0.0
83679afffffffff,24.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0
836d68fffffffff,50.0,0.0,0.0
836d69fffffffff,2193.0,0.0,0.0
836d6dfffffffff,2.0,0.0,0.0
