cell_id,Ianthocincla ocellata,Ianthocincla ocellata [ocellata Group],Ianthocincla ocellata artemisiae
823c07fffffffff,76.0,0.0,0.0
823c0ffffffffff,419.0,0.0,0.0
823c1ffffffffff,473.0,0.0,0.0
823c37fffffffff,36.0,0.0,0.0
823c47fffffffff,17.0,0.0,0.0
823c57fffffffff,445.0,0.0,0.0
823c5ffffffffff,52.0,0.0,0.0
823ce7fffffffff,45.0,0.0,0.0
824007fffffffff,10.0,0.0,0.0
824017fffffffff,4.0,0.0,0.0
824047fffffffff,3.0,0.0,0.0
82404ffffffffff,6.0,0.0,0.0
824057fffffffff,3.0,0.0,0.0
82405ffffffffff,4.0,0.0,0.0
8240affffffffff,16.0,0.0,1.0
8240c7fffffffff,22.0,0.0,0.0
8240e7fffffffff,31.0,0.0,0.0
8240effffffffff,39.0,0.0,1.0
