cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
842814bffffffff,35.0,0.0,0.0,0.0,0.0
842814dffffffff,2.0,2.0,0.0,0.0,0.0
8428151ffffffff,8.0,0.0,0.0,0.0,0.0
8428153ffffffff,35.0,0.0,0.0,0.0,0.0
8428155ffffffff,110.0,2.0,0.0,0.0,0.0
8428157ffffffff,34.0,1.0,0.0,0.0,0.0
8428159ffffffff,5.0,0.0,0.0,0.0,0.0
842815bffffffff,1.0,0.0,0.0,0.0,0.0
842815dffffffff,6.0,0.0,0.0,0.0,0.0
842816bffffffff,1.0,0.0,0.0,0.0,0.0
8428187ffffffff,2.0,0.0,0.0,0.0,0.0
84281c1ffffffff,1.0,1.0,0.0,0.0,0.0
84281cbffffffff,6.0,6.0,0.0,0.0,0.0
84281e3ffffffff,2.0,0.0,0.0,0.0,0.0
84281e9ffffffff,15.0,2.0,0.0,0.0,0.0
8428301ffffffff,14.0,0.0,0.0,0.0,0.0
8428303ffffffff,16.0,0.0,0.0,0.0,0.0
8428305ffffffff,2.0,0.0,0.0,0.0,0.0
8428307ffffffff,130.0,0.0,0.0,0.0,0.0
8428309ffffffff,62.0,17.0,0.0,0.0,0.0
842830bffffffff,3.0,3.0,0.0,0.0,0.0
8428317ffffffff,2.0,2.0,0.0,0.0,0.0
842831dffffffff,1.0,0.0,0.0,0.0,0.0
8428321ffffffff,29.0,0.0,0.0,0.0,0.0
8428327ffffffff,17.0,17.0,0.0,0.0,0.0
8428329ffffffff,26.0,0.0,0.0,0.0,0.0
842832bffffffff,18.0,3.0,0.0,0.0,0.0
8428331ffffffff,3.0,0.0,0.0,0.0,0.0
8428333ffffffff,3.0,0.0,0.0,0.0,0.0
8428335ffffffff,10.0,0.0,0.0,0.0,0.0
8428337ffffffff,4.0,0.0,0.0,0.0,0.0
8428339ffffffff,52.0,0.0,0.0,0.0,0.0
842833dffffffff,1.0,0.0,0.0,0.0,0.0
8428341ffffffff,30.0,24.0,0.0,0.0,0.0
8428343ffffffff,3.0,3.0,0.0,0.0,0.0
8428345ffffffff,3.0,0.0,0.0,0.0,0.0
8428347ffffffff,6.0,5.0,0.0,0.0,0.0
842834dffffffff,6.0,0.0,0.0,0.0,0.0
8428363ffffffff,5.0,0.0,0.0,0.0,0.0
8428369ffffffff,10.0,0.0,0.0,0.0,0.0
842836bffffffff,15.0,4.0,0.0,0.0,0.0
8428801ffffffff,17.0,0.0,0.0,0.0,0.0
842880bffffffff,2.0,0.0,0.0,0.0,0.0
8428811ffffffff,2.0,2.0,0.0,0.0,0.0
8428813ffffffff,5.0,5.0,0.0,0.0,0.0
8428815ffffffff,2.0,2.0,0.0,0.0,0.0
8428817ffffffff,2.0,0.0,2.0,0.0,0.0
842881bffffffff,2.0,2.0,0.0,0.0,0.0
