cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
8429a9bffffffff,2.0,0.0,0.0,0.0
8429abbffffffff,12.0,0.0,0.0,0.0
8429ac9ffffffff,22.0,0.0,0.0,0.0
8429ad1ffffffff,14.0,0.0,0.0,0.0
8429addffffffff,10.0,0.0,0.0,0.0
8429ae1ffffffff,18.0,0.0,0.0,0.0
8429ae5ffffffff,10.0,0.0,0.0,0.0
8429aebffffffff,1.0,0.0,0.0,0.0
8429b0bffffffff,9.0,0.0,0.0,0.0
8429b13ffffffff,1.0,0.0,0.0,0.0
8429b15ffffffff,4.0,0.0,0.0,0.0
8429b2dffffffff,4.0,0.0,0.0,0.0
8429b5bffffffff,15.0,0.0,6.0,0.0
8429b5dffffffff,9.0,0.0,9.0,0.0
8429b61ffffffff,2.0,0.0,0.0,0.0
8429b65ffffffff,1.0,0.0,0.0,0.0
8429b67ffffffff,1.0,0.0,0.0,0.0
8429b6bffffffff,8.0,0.0,2.0,0.0
8429b6dffffffff,2.0,0.0,0.0,0.0
842a957ffffffff,23.0,10.0,0.0,0.0
842ab25ffffffff,44.0,2.0,0.0,0.0
842ab51ffffffff,1.0,0.0,0.0,0.0
842b0a7ffffffff,3.0,0.0,0.0,0.0
842b143ffffffff,7.0,0.0,0.0,0.0
842bae3ffffffff,2.0,0.0,0.0,0.0
84441a3ffffffff,35.0,2.0,0.0,0.0
84441a9ffffffff,15.0,0.0,0.0,0.0
844440dffffffff,6.0,0.0,0.0,0.0
8444469ffffffff,2.0,0.0,0.0,0.0
8444501ffffffff,7.0,0.0,0.0,0.0
844450dffffffff,2.0,0.0,0.0,0.0
8444563ffffffff,4.0,0.0,0.0,0.0
8444633ffffffff,5.0,0.0,0.0,0.0
84446c1ffffffff,22.0,0.0,0.0,0.0
84446c5ffffffff,2.0,0.0,0.0,0.0
84446cdffffffff,11.0,0.0,0.0,0.0
844473bffffffff,1.0,0.0,0.0,0.0
8444a83ffffffff,2.0,0.0,0.0,0.0
8445011ffffffff,1.0,0.0,0.0,0.0
8445059ffffffff,1.0,0.0,0.0,0.0
844505dffffffff,3.0,0.0,0.0,0.0
8445085ffffffff,1.0,0.0,0.0,0.0
844509bffffffff,4.0,0.0,0.0,2.0
84450e3ffffffff,1.0,0.0,0.0,0.0
8445233ffffffff,1.0,0.0,0.0,1.0
844523bffffffff,2.0,0.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0,0.0
8445289ffffffff,10.0,0.0,0.0,0.0
844528dffffffff,21.0,0.0,0.0,0.0
84452adffffffff,8.0,0.0,0.0,8.0
84452bdffffffff,3.0,0.0,0.0,2.0
84452c3ffffffff,4.0,0.0,0.0,0.0
84452c7ffffffff,2.0,0.0,0.0,0.0
84452dbffffffff,2.0,0.0,0.0,0.0
84452e5ffffffff,3.0,0.0,0.0,0.0
84452ebffffffff,16.0,0.0,0.0,0.0
8448059ffffffff,2.0,0.0,0.0,0.0
844805bffffffff,4.0,0.0,0.0,0.0
8448097ffffffff,4.0,0.0,4.0,0.0
84480bbffffffff,8.0,0.0,8.0,0.0
84480d3ffffffff,2.0,0.0,0.0,0.0
84480dbffffffff,2.0,0.0,0.0,0.0
8448147ffffffff,2.0,0.0,0.0,0.0
8448233ffffffff,24.0,0.0,2.0,0.0
84482e5ffffffff,5.0,0.0,0.0,0.0
8448309ffffffff,2.0,0.0,0.0,0.0
8448329ffffffff,3.0,0.0,0.0,0.0
8448333ffffffff,1.0,0.0,1.0,0.0
8448337ffffffff,5.0,0.0,2.0,0.0
8448361ffffffff,4.0,0.0,0.0,0.0
8448363ffffffff,19.0,0.0,0.0,0.0
8448365ffffffff,2.0,0.0,0.0,0.0
8448367ffffffff,2.0,0.0,0.0,0.0
8448369ffffffff,2.0,0.0,0.0,0.0
84484a5ffffffff,16.0,0.0,0.0,0.0
84484a7ffffffff,1.0,0.0,0.0,0.0
844854bffffffff,2.0,0.0,0.0,0.0
8448559ffffffff,2.0,0.0,0.0,0.0
8448583ffffffff,2.0,0.0,0.0,0.0
8448597ffffffff,11.0,0.0,0.0,0.0
84485a7ffffffff,14.0,0.0,0.0,0.0
84485b1ffffffff,3.0,0.0,0.0,0.0
84485b5ffffffff,6.0,0.0,0.0,0.0
84485b7ffffffff,4.0,0.0,0.0,0.0
84485bbffffffff,2.0,0.0,0.0,0.0
84485bdffffffff,1.0,0.0,0.0,0.0
84485d1ffffffff,1.0,0.0,0.0,0.0
84485d3ffffffff,5.0,0.0,0.0,0.0
84485e7ffffffff,6.0,0.0,6.0,0.0
8448825ffffffff,11.0,0.0,0.0,0.0
844882dffffffff,2.0,0.0,0.0,0.0
8448831ffffffff,2.0,0.0,0.0,0.0
8448837ffffffff,8.0,0.0,0.0,0.0
8448849ffffffff,3.0,0.0,0.0,0.0
844884dffffffff,2.0,0.0,0.0,0.0
8448869ffffffff,1.0,1.0,0.0,0.0
844886bffffffff,1.0,1.0,0.0,0.0
84488d9ffffffff,1.0,0.0,0.0,0.0
84488e9ffffffff,5.0,0.0,0.0,0.0
8448903ffffffff,2.0,0.0,0.0,0.0
844890bffffffff,7.0,0.0,0.0,0.0
844891bffffffff,2.0,0.0,0.0,0.0
844893dffffffff,2.0,0.0,0.0,0.0
8448951ffffffff,32.0,0.0,0.0,0.0
8448953ffffffff,3.0,0.0,0.0,0.0
8448955ffffffff,10.0,0.0,0.0,0.0
8448959ffffffff,8.0,5.0,0.0,0.0
84489c1ffffffff,18.0,0.0,0.0,0.0
84489c9ffffffff,1.0,0.0,0.0,0.0
84489cdffffffff,8.0,0.0,0.0,0.0
84489d3ffffffff,4.0,0.0,0.0,0.0
84489d5ffffffff,2.0,0.0,0.0,0.0
8448a21ffffffff,31.0,0.0,0.0,0.0
8448a25ffffffff,2.0,0.0,0.0,0.0
8448a27ffffffff,28.0,0.0,0.0,0.0
8448a2dffffffff,5.0,0.0,0.0,0.0
8448ab3ffffffff,15.0,0.0,0.0,0.0
8448ab7ffffffff,2.0,0.0,0.0,0.0
8448b13ffffffff,11.0,2.0,0.0,0.0
8448b15ffffffff,384.0,5.0,0.0,0.0
8448b1bffffffff,2.0,0.0,0.0,0.0
8448b23ffffffff,1.0,1.0,0.0,0.0
8448b2bffffffff,4.0,2.0,0.0,0.0
8448b35ffffffff,1.0,0.0,0.0,0.0
8448b37ffffffff,2.0,0.0,0.0,0.0
8448b39ffffffff,576.0,7.0,0.0,0.0
8448b47ffffffff,1.0,0.0,0.0,0.0
8448b4dffffffff,2.0,0.0,0.0,0.0
8448b5bffffffff,16.0,0.0,0.0,0.0
8448c07ffffffff,7.0,0.0,0.0,0.0
8448c09ffffffff,10.0,0.0,0.0,0.0
8448c0bffffffff,4.0,0.0,0.0,0.0
8448c11ffffffff,4.0,0.0,0.0,0.0
8448c19ffffffff,3.0,0.0,0.0,0.0
8448c35ffffffff,23.0,0.0,0.0,0.0
8448c55ffffffff,2.0,0.0,0.0,0.0
8448c57ffffffff,4.0,0.0,0.0,0.0
8448c59ffffffff,16.0,0.0,3.0,0.0
8448c61ffffffff,12.0,0.0,0.0,0.0
8448c63ffffffff,9.0,0.0,0.0,0.0
8448cc7ffffffff,19.0,0.0,4.0,0.0
8448cd9ffffffff,2.0,0.0,0.0,0.0
8448d19ffffffff,9.0,0.0,0.0,0.0
8448d33ffffffff,3.0,0.0,0.0,0.0
8448d43ffffffff,3.0,0.0,0.0,0.0
8448d4bffffffff,4.0,2.0,0.0,0.0
8448e37ffffffff,14.0,0.0,1.0,0.0
8448e81ffffffff,5.0,0.0,0.0,0.0
8448e85ffffffff,57.0,0.0,2.0,0.0
8448e8dffffffff,115.0,0.0,66.0,0.0
8448e91ffffffff,2.0,0.0,0.0,0.0
8448e97ffffffff,6.0,0.0,4.0,0.0
8448e99ffffffff,4.0,0.0,0.0,0.0
8448e9bffffffff,2.0,0.0,0.0,0.0
8448e9dffffffff,6.0,0.0,0.0,0.0
8448ea1ffffffff,2.0,0.0,0.0,0.0
8448ea5ffffffff,7.0,0.0,0.0,0.0
8448eabffffffff,1.0,0.0,0.0,0.0
8448eb1ffffffff,5.0,0.0,2.0,0.0
8448eb3ffffffff,5.0,0.0,2.0,0.0
8448eb7ffffffff,2.0,0.0,0.0,0.0
8448eb9ffffffff,2.0,0.0,0.0,0.0
8448ebbffffffff,2.0,0.0,0.0,0.0
8448ebdffffffff,3.0,0.0,0.0,0.0
8448ec5ffffffff,7.0,0.0,7.0,0.0
8448ec7ffffffff,117.0,0.0,100.0,0.0
8448ee9ffffffff,3.0,0.0,2.0,0.0
8448eebffffffff,61.0,0.0,56.0,0.0
8448eedffffffff,2.0,0.0,0.0,0.0
8448f21ffffffff,2.0,0.0,0.0,0.0
8448f2dffffffff,1.0,0.0,0.0,0.0
8449801ffffffff,3.0,0.0,0.0,0.0
8449821ffffffff,1.0,0.0,0.0,0.0
8449823ffffffff,3.0,0.0,0.0,0.0
