cell_id,Dumetia atriceps,Dumetia atriceps atriceps,Dumetia atriceps bourdilloni,Dumetia atriceps siccata,Dumetia atriceps nigrifrons
836002fffffffff,35.0,0.0,0.0,0.0,0.0
836006fffffffff,20.0,0.0,2.0,0.0,0.0
836011fffffffff,11.0,0.0,0.0,0.0,0.0
836015fffffffff,2.0,2.0,0.0,0.0,0.0
83601efffffffff,3.0,1.0,0.0,0.0,0.0
836022fffffffff,5.0,0.0,0.0,0.0,0.0
836026fffffffff,4.0,0.0,0.0,0.0,0.0
836031fffffffff,50.0,0.0,0.0,0.0,0.0
836033fffffffff,70.0,0.0,0.0,0.0,0.0
836035fffffffff,11.0,0.0,2.0,0.0,0.0
836088fffffffff,4.0,0.0,0.0,0.0,0.0
83608dfffffffff,5.0,0.0,0.0,0.0,0.0
8360a9fffffffff,134.0,2.0,0.0,0.0,0.0
8360adfffffffff,5.0,2.0,0.0,0.0,0.0
