cell_id,Branta hutchinsii,Branta hutchinsii leucopareia,Branta hutchinsii hutchinsii,Branta hutchinsii minima,Branta hutchinsii taverneri
8302cafffffffff,4.0,0.0,0.0,0.0,0.0
8302ddfffffffff,6.0,0.0,0.0,0.0,0.0
830742fffffffff,12.0,0.0,0.0,0.0,0.0
830743fffffffff,2.0,0.0,0.0,0.0,0.0
830745fffffffff,6.0,0.0,0.0,0.0,0.0
83075dfffffffff,2.0,0.0,0.0,0.0,0.0
830806fffffffff,2.0,0.0,0.0,0.0,0.0
83089dfffffffff,2.0,0.0,0.0,0.0,0.0
830c14fffffffff,12.0,0.0,0.0,2.0,6.0
830c41fffffffff,4.0,0.0,0.0,4.0,0.0
830c42fffffffff,17.0,4.0,0.0,0.0,2.0
830c44fffffffff,3.0,0.0,0.0,2.0,0.0
830c45fffffffff,5.0,1.0,0.0,4.0,0.0
830c46fffffffff,1.0,0.0,0.0,0.0,0.0
830c50fffffffff,3.0,1.0,0.0,0.0,0.0
830c51fffffffff,25.0,1.0,0.0,0.0,1.0
830c55fffffffff,58.0,0.0,0.0,2.0,2.0
830c5afffffffff,142.0,25.0,0.0,24.0,0.0
830c62fffffffff,2.0,0.0,0.0,2.0,0.0
830c63fffffffff,3.0,0.0,0.0,3.0,0.0
830c65fffffffff,4.0,0.0,0.0,4.0,0.0
830c6afffffffff,2.0,2.0,0.0,0.0,0.0
830c71fffffffff,4.0,0.0,0.0,0.0,0.0
830c73fffffffff,257.0,3.0,0.0,9.0,2.0
830c74fffffffff,1.0,0.0,0.0,0.0,0.0
830ca4fffffffff,24.0,0.0,0.0,0.0,10.0
830cc5fffffffff,1.0,0.0,0.0,0.0,0.0
830cccfffffffff,1.0,0.0,0.0,0.0,0.0
830cd8fffffffff,30.0,0.0,0.0,0.0,27.0
830cdefffffffff,86.0,0.0,0.0,0.0,84.0
830ceefffffffff,3.0,0.0,0.0,0.0,0.0
830cf4fffffffff,1.0,0.0,0.0,0.0,0.0
830d0cfffffffff,2.0,0.0,0.0,0.0,2.0
830d0dfffffffff,5.0,0.0,0.0,0.0,5.0
830d52fffffffff,1.0,0.0,0.0,0.0,1.0
830e5bfffffffff,3.0,0.0,0.0,0.0,0.0
830e6afffffffff,1.0,0.0,1.0,0.0,0.0
830e80fffffffff,29.0,0.0,0.0,0.0,0.0
830ecafffffffff,4.0,0.0,0.0,0.0,0.0
830ecbfffffffff,4.0,0.0,0.0,0.0,0.0
830eccfffffffff,42.0,0.0,0.0,0.0,0.0
830eeafffffffff,59.0,0.0,0.0,0.0,0.0
831218fffffffff,11.0,0.0,0.0,0.0,0.0
831250fffffffff,6.0,0.0,0.0,0.0,0.0
831251fffffffff,7.0,0.0,5.0,0.0,1.0
831252fffffffff,1.0,0.0,0.0,0.0,0.0
831253fffffffff,17.0,0.0,4.0,0.0,0.0
831254fffffffff,3.0,0.0,0.0,0.0,0.0
831258fffffffff,2.0,0.0,0.0,0.0,0.0
831259fffffffff,9.0,0.0,0.0,0.0,0.0
83125dfffffffff,3.0,0.0,0.0,0.0,0.0
831272fffffffff,17.0,0.0,0.0,0.0,0.0
831289fffffffff,10.0,0.0,0.0,0.0,0.0
83128dfffffffff,3.0,0.0,0.0,0.0,0.0
831290fffffffff,11.0,2.0,0.0,9.0,0.0
831294fffffffff,4.0,1.0,0.0,3.0,0.0
83129cfffffffff,5.0,0.0,0.0,0.0,0.0
8312a2fffffffff,1.0,0.0,0.0,0.0,0.0
8312abfffffffff,4.0,0.0,0.0,0.0,0.0
8312b0fffffffff,38.0,4.0,0.0,19.0,0.0
8312b2fffffffff,2.0,0.0,0.0,0.0,0.0
8312b6fffffffff,12.0,0.0,0.0,4.0,0.0
8312c1fffffffff,4.0,0.0,0.0,0.0,0.0
8312c3fffffffff,1.0,0.0,0.0,0.0,0.0
8312c8fffffffff,28.0,0.0,0.0,0.0,0.0
8312c9fffffffff,6.0,0.0,2.0,0.0,0.0
8312cafffffffff,5.0,0.0,0.0,0.0,0.0
8312ccfffffffff,240.0,0.0,2.0,0.0,0.0
8312cdfffffffff,14.0,0.0,0.0,0.0,0.0
8312d0fffffffff,9.0,0.0,0.0,0.0,0.0
8312d1fffffffff,27.0,0.0,0.0,7.0,0.0
8312d3fffffffff,8.0,0.0,0.0,0.0,0.0
8312d6fffffffff,6.0,0.0,0.0,0.0,0.0
8312d8fffffffff,6.0,0.0,0.0,0.0,0.0
8312d9fffffffff,4.0,0.0,0.0,0.0,0.0
8312dafffffffff,7.0,0.0,0.0,0.0,7.0
8312dbfffffffff,21.0,0.0,0.0,14.0,0.0
8312dcfffffffff,45.0,0.0,0.0,2.0,0.0
8312ddfffffffff,11.0,0.0,4.0,0.0,0.0
8312defffffffff,6.0,0.0,0.0,0.0,1.0
8312e1fffffffff,25.0,0.0,2.0,0.0,0.0
8312e8fffffffff,2.0,0.0,0.0,0.0,0.0
8312eafffffffff,13.0,0.0,0.0,0.0,0.0
8312ebfffffffff,4.0,0.0,0.0,0.0,0.0
8312ecfffffffff,152.0,0.0,0.0,0.0,0.0
8312edfffffffff,2.0,0.0,0.0,0.0,0.0
8312eefffffffff,2.0,0.0,0.0,0.0,0.0
8312f6fffffffff,8.0,0.0,0.0,0.0,0.0
831382fffffffff,48.0,0.0,0.0,10.0,2.0
831383fffffffff,5.0,0.0,0.0,0.0,0.0
831386fffffffff,115.0,0.0,0.0,70.0,0.0
83138afffffffff,2.0,0.0,0.0,0.0,0.0
831393fffffffff,5.0,0.0,0.0,5.0,0.0
83139efffffffff,11.0,0.0,0.0,7.0,0.0
8313b2fffffffff,4.0,0.0,0.0,2.0,0.0
8313b3fffffffff,7.0,0.0,0.0,5.0,0.0
831650fffffffff,101.0,101.0,0.0,0.0,0.0
831653fffffffff,8.0,6.0,0.0,0.0,0.0
831820fffffffff,13.0,0.0,11.0,0.0,0.0
831821fffffffff,7.0,0.0,3.0,0.0,0.0
