cell_id,Corypha africana,Corypha africana [africana Group],Corypha africana tropicalis
846ac0bffffffff,2.0,0.0,0.0
846ac15ffffffff,2.0,0.0,0.0
846ac1dffffffff,2.0,2.0,0.0
846ac2bffffffff,2.0,0.0,0.0
846ac31ffffffff,7.0,0.0,0.0
846ac33ffffffff,2.0,0.0,0.0
846ac35ffffffff,22.0,2.0,0.0
846ac39ffffffff,11.0,0.0,0.0
846ac3dffffffff,412.0,48.0,0.0
846ac89ffffffff,61.0,11.0,0.0
846ac93ffffffff,6.0,0.0,0.0
846acc7ffffffff,1.0,0.0,0.0
846acd5ffffffff,3.0,2.0,0.0
846ace5ffffffff,11.0,0.0,0.0
846ad81ffffffff,1.0,0.0,0.0
846ad8bffffffff,22.0,0.0,0.0
846ada9ffffffff,3.0,0.0,0.0
846adc1ffffffff,4.0,0.0,0.0
846adc3ffffffff,6.0,0.0,0.0
846adc9ffffffff,87.0,2.0,0.0
846adcdffffffff,2.0,0.0,0.0
846add5ffffffff,5.0,0.0,0.0
846add7ffffffff,6.0,0.0,0.0
846adddffffffff,1.0,0.0,0.0
846ae85ffffffff,2.0,2.0,0.0
846aea1ffffffff,5.0,0.0,0.0
846aee3ffffffff,13.0,0.0,0.0
847a4d3ffffffff,2.0,0.0,0.0
847a4ddffffffff,1.0,0.0,0.0
847a681ffffffff,316.0,0.0,0.0
847a683ffffffff,546.0,0.0,0.0
847a687ffffffff,9.0,0.0,0.0
847a689ffffffff,13.0,0.0,0.0
847a68bffffffff,173.0,0.0,0.0
847a691ffffffff,2.0,0.0,0.0
847a695ffffffff,2.0,0.0,0.0
847a69bffffffff,1.0,0.0,0.0
847a69dffffffff,14.0,0.0,0.0
847a6b3ffffffff,1.0,0.0,0.0
847a6b5ffffffff,1.0,0.0,0.0
847a6b7ffffffff,5.0,0.0,0.0
847a6c3ffffffff,3.0,0.0,0.0
847a6cbffffffff,2.0,0.0,0.0
847a6d1ffffffff,525.0,0.0,0.0
847a6d3ffffffff,31.0,0.0,0.0
847a6d5ffffffff,16.0,0.0,0.0
847a6d7ffffffff,3.0,0.0,0.0
847a6d9ffffffff,148.0,0.0,0.0
847a6dbffffffff,37.0,0.0,0.0
847a6ddffffffff,8.0,0.0,0.0
8483263ffffffff,14.0,8.0,0.0
8496025ffffffff,1.0,0.0,0.0
8496095ffffffff,2.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0
8496207ffffffff,1.0,0.0,0.0
8496217ffffffff,1.0,0.0,0.0
8496233ffffffff,6.0,0.0,0.0
8496239ffffffff,3.0,0.0,0.0
849623bffffffff,2.0,0.0,0.0
849624dffffffff,6.0,0.0,0.0
849628bffffffff,1.0,1.0,0.0
84962b9ffffffff,4.0,0.0,0.0
84962c5ffffffff,3.0,0.0,0.0
84962c7ffffffff,1.0,0.0,0.0
84962c9ffffffff,23.0,10.0,0.0
84962e5ffffffff,12.0,6.0,0.0
849670bffffffff,2.0,0.0,0.0
849673bffffffff,1.0,0.0,0.0
8496753ffffffff,4.0,0.0,0.0
8496757ffffffff,11.0,0.0,0.0
8496861ffffffff,3.0,0.0,0.0
8496931ffffffff,22.0,0.0,0.0
8496933ffffffff,135.0,0.0,0.0
8496935ffffffff,326.0,0.0,0.0
8496937ffffffff,69.0,0.0,0.0
849693bffffffff,1.0,0.0,0.0
84969a1ffffffff,3.0,0.0,0.0
84969a5ffffffff,31.0,0.0,0.0
84969adffffffff,2.0,0.0,0.0
84969e5ffffffff,3.0,0.0,0.0
8496b53ffffffff,2.0,0.0,0.0
8497081ffffffff,1.0,0.0,0.0
84970a3ffffffff,4.0,0.0,0.0
84970a5ffffffff,2.0,0.0,0.0
84970a7ffffffff,3.0,0.0,0.0
84970c5ffffffff,7.0,1.0,0.0
84970d3ffffffff,1.0,0.0,0.0
84970d7ffffffff,1.0,0.0,0.0
8497199ffffffff,13.0,0.0,0.0
849719bffffffff,23.0,0.0,0.0
84971cbffffffff,5.0,0.0,0.0
84971d7ffffffff,2.0,0.0,0.0
84971ddffffffff,2.0,0.0,0.0
849721bffffffff,2.0,0.0,0.0
8497245ffffffff,2.0,0.0,0.0
849728dffffffff,2.0,0.0,0.0
8497291ffffffff,9.0,0.0,0.0
8497295ffffffff,3.0,0.0,0.0
84972c5ffffffff,3.0,0.0,0.0
84972c9ffffffff,7.0,0.0,0.0
84972cdffffffff,31.0,0.0,0.0
84972d7ffffffff,2.0,0.0,0.0
84972d9ffffffff,6.0,0.0,0.0
