cell_id,Notharchus tectus,Notharchus tectus subtectus,Notharchus tectus tectus/picatus
825f07fffffffff,46.0,0.0,0.0
825f0ffffffffff,4.0,0.0,0.0
825f17fffffffff,38.0,0.0,0.0
825f1ffffffffff,20.0,0.0,0.0
825f2ffffffffff,172.0,0.0,0.0
825f47fffffffff,9.0,0.0,0.0
825f57fffffffff,11.0,0.0,0.0
825f6ffffffffff,22.0,0.0,0.0
825f77fffffffff,27.0,0.0,0.0
826607fffffffff,117.0,0.0,0.0
82660ffffffffff,123.0,2.0,0.0
826617fffffffff,1970.0,0.0,0.0
82661ffffffffff,665.0,0.0,0.0
826627fffffffff,594.0,0.0,0.0
826647fffffffff,45.0,0.0,0.0
82665ffffffffff,84.0,0.0,0.0
826667fffffffff,25.0,0.0,0.0
82666ffffffffff,6.0,0.0,0.0
8266a7fffffffff,1310.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0
8266b7fffffffff,90.0,0.0,0.0
8266c7fffffffff,4.0,0.0,0.0
8266cffffffffff,24.0,0.0,0.0
8266d7fffffffff,215.0,9.0,0.0
8266dffffffffff,293.0,0.0,19.0
8266e7fffffffff,10.0,0.0,0.0
8266effffffffff,19.0,0.0,0.0
8266f7fffffffff,401.0,15.0,0.0
82679ffffffffff,255.0,0.0,0.0
826d6ffffffffff,1599.0,0.0,0.0
828047fffffffff,34.0,0.0,0.0
82804ffffffffff,10.0,0.0,0.0
828067fffffffff,19.0,0.0,0.0
82806ffffffffff,31.0,0.0,0.0
828077fffffffff,6.0,0.0,2.0
828147fffffffff,19.0,0.0,0.0
82814ffffffffff,121.0,0.0,0.0
82815ffffffffff,24.0,0.0,0.0
828167fffffffff,2.0,0.0,0.0
828177fffffffff,26.0,0.0,2.0
828a07fffffffff,22.0,0.0,4.0
828a17fffffffff,41.0,0.0,0.0
828a1ffffffffff,7.0,0.0,0.0
828a27fffffffff,3.0,0.0,0.0
828a2ffffffffff,1.0,0.0,0.0
828a37fffffffff,3.0,0.0,0.0
828a47fffffffff,15.0,0.0,1.0
828a57fffffffff,2.0,0.0,0.0
828a5ffffffffff,1.0,0.0,0.0
828a6ffffffffff,40.0,0.0,0.0
828a87fffffffff,16.0,0.0,0.0
828a8ffffffffff,3.0,0.0,0.0
828a97fffffffff,25.0,0.0,0.0
828a9ffffffffff,20.0,0.0,1.0
828aaffffffffff,36.0,0.0,0.0
828adffffffffff,16.0,0.0,3.0
828ae7fffffffff,2.0,0.0,0.0
828af7fffffffff,224.0,0.0,13.0
828b1ffffffffff,4.0,0.0,0.0
828b47fffffffff,31.0,0.0,0.0
828b4ffffffffff,4.0,0.0,0.0
828b57fffffffff,4.0,0.0,0.0
828b67fffffffff,6.0,0.0,0.0
828b87fffffffff,38.0,0.0,0.0
828b8ffffffffff,12.0,0.0,0.0
828b9ffffffffff,134.0,0.0,5.0
828ba7fffffffff,18.0,0.0,0.0
828baffffffffff,1.0,0.0,0.0
828bb7fffffffff,2.0,0.0,0.0
828f2ffffffffff,12.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0
828f4ffffffffff,10.0,0.0,0.0
828f67fffffffff,9.0,0.0,0.0
828f6ffffffffff,4.0,0.0,2.0
828f77fffffffff,6.0,0.0,0.0
