cell_id,Glaucidium brasilianum,Glaucidium brasilianum [brasilianum Group],Glaucidium brasilianum tucumanum
834508fffffffff,56.0,56.0,0.0
834509fffffffff,369.0,369.0,0.0
83450afffffffff,8.0,8.0,0.0
83450bfffffffff,76.0,76.0,0.0
83450dfffffffff,225.0,225.0,0.0
834520fffffffff,18.0,0.0,0.0
834521fffffffff,59.0,3.0,0.0
834525fffffffff,37.0,32.0,0.0
834526fffffffff,1.0,0.0,0.0
83452afffffffff,9.0,0.0,0.0
83452efffffffff,6.0,1.0,0.0
834535fffffffff,1.0,0.0,0.0
834572fffffffff,90.0,90.0,0.0
83480afffffffff,2.0,1.0,0.0
8348b1fffffffff,27.0,0.0,0.0
8348b3fffffffff,276.0,2.0,0.0
8348e1fffffffff,2.0,2.0,0.0
834980fffffffff,7.0,0.0,0.0
834982fffffffff,8.0,0.0,0.0
834986fffffffff,18.0,18.0,0.0
834990fffffffff,2.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0
834996fffffffff,17.0,1.0,0.0
834998fffffffff,2.0,2.0,0.0
83499cfffffffff,3.0,0.0,0.0
8349a2fffffffff,3.0,3.0,0.0
8349a8fffffffff,18.0,15.0,0.0
8349b1fffffffff,2.0,2.0,0.0
8349b3fffffffff,7.0,7.0,0.0
8349b5fffffffff,2.0,2.0,0.0
835f29fffffffff,4.0,4.0,0.0
835f58fffffffff,6.0,6.0,0.0
835f5bfffffffff,4.0,4.0,0.0
83660dfffffffff,4.0,0.0,0.0
83661cfffffffff,11.0,0.0,0.0
836629fffffffff,2.0,0.0,0.0
83662bfffffffff,1.0,0.0,0.0
83662efffffffff,16.0,0.0,0.0
8366a0fffffffff,1.0,0.0,0.0
8366a1fffffffff,11.0,0.0,0.0
8366a3fffffffff,1.0,0.0,0.0
8366a5fffffffff,58.0,0.0,0.0
8366b0fffffffff,2.0,0.0,0.0
8366b4fffffffff,23.0,0.0,0.0
8366b6fffffffff,9.0,9.0,0.0
8366c2fffffffff,1.0,0.0,0.0
8366dcfffffffff,6.0,0.0,0.0
8366defffffffff,1.0,1.0,0.0
836741fffffffff,1.0,1.0,0.0
83679afffffffff,3.0,0.0,0.0
836d04fffffffff,6.0,0.0,0.0
836d05fffffffff,1.0,0.0,0.0
836d20fffffffff,8.0,8.0,0.0
836d21fffffffff,2.0,0.0,0.0
836d22fffffffff,2.0,2.0,0.0
836d23fffffffff,1.0,0.0,0.0
836d25fffffffff,6.0,6.0,0.0
836d29fffffffff,6.0,0.0,0.0
836d2afffffffff,2.0,0.0,0.0
836d2bfffffffff,5.0,0.0,0.0
836d2dfffffffff,9.0,0.0,0.0
836d2efffffffff,2.0,0.0,0.0
836d31fffffffff,3.0,2.0,0.0
836d33fffffffff,2.0,0.0,0.0
836d34fffffffff,3.0,0.0,0.0
836d68fffffffff,6.0,6.0,0.0
836d69fffffffff,42.0,12.0,0.0
836d6dfffffffff,21.0,0.0,0.0
836d76fffffffff,3.0,3.0,0.0
838151fffffffff,1.0,1.0,0.0
838b20fffffffff,4.0,4.0,0.0
838b22fffffffff,2.0,2.0,0.0
838b61fffffffff,2.0,2.0,0.0
838b62fffffffff,1.0,0.0,0.0
838f40fffffffff,3.0,3.0,0.0
838f46fffffffff,2.0,2.0,0.0
83a865fffffffff,3.0,0.0,3.0
83a953fffffffff,4.0,0.0,0.0
83a961fffffffff,9.0,0.0,0.0
83a964fffffffff,1.0,0.0,0.0
83a965fffffffff,4.0,0.0,0.0
83b248fffffffff,2.0,0.0,0.0
83b249fffffffff,22.0,0.0,0.0
83b24dfffffffff,226.0,0.0,0.0
83b261fffffffff,5.0,0.0,0.0
83b268fffffffff,5.0,0.0,0.0
83b269fffffffff,29.0,0.0,0.0
83b26bfffffffff,46.0,0.0,0.0
83b26dfffffffff,7.0,0.0,0.0
83b343fffffffff,2.0,0.0,2.0
83b34bfffffffff,1.0,0.0,1.0
83b35afffffffff,1.0,0.0,0.0
83b36dfffffffff,2.0,0.0,2.0
83c2c9fffffffff,33.0,0.0,0.0
83c2cdfffffffff,7.0,0.0,0.0
83c2d0fffffffff,2.0,0.0,0.0
83c2e3fffffffff,1.0,1.0,0.0
83c356fffffffff,1.0,0.0,0.0
