cell_id,Parus major,Parus major [major Group],Parus major [bokharensis Group]
84075d9ffffffff,2.0,2.0,0.0
840898bffffffff,2.0,0.0,0.0
8408a27ffffffff,4.0,0.0,0.0
8411235ffffffff,2.0,0.0,0.0
8415983ffffffff,3.0,3.0,0.0
841598bffffffff,8.0,6.0,0.0
841598dffffffff,2.0,0.0,0.0
8418495ffffffff,26.0,0.0,0.0
8418497ffffffff,5.0,3.0,0.0
84184b1ffffffff,14.0,0.0,0.0
84184b3ffffffff,2.0,0.0,0.0
84184b7ffffffff,8.0,2.0,0.0
84184b9ffffffff,8.0,2.0,0.0
84184bbffffffff,6.0,0.0,0.0
8418593ffffffff,1.0,0.0,0.0
8418597ffffffff,2.0,2.0,0.0
84185b3ffffffff,19.0,17.0,0.0
84185b5ffffffff,6.0,6.0,0.0
84185bbffffffff,27.0,6.0,0.0
8418631ffffffff,4.0,4.0,0.0
8418637ffffffff,2.0,0.0,0.0
8418747ffffffff,1.0,0.0,0.0
8419013ffffffff,4.0,0.0,0.0
84190d9ffffffff,2.0,0.0,0.0
8419423ffffffff,8.0,2.0,0.0
84194adffffffff,1.0,0.0,0.0
8419557ffffffff,1.0,0.0,0.0
84195dbffffffff,1.0,0.0,0.0
8419693ffffffff,1.0,0.0,0.0
84196d9ffffffff,2.0,2.0,0.0
841e029ffffffff,2.0,2.0,0.0
841e049ffffffff,49.0,0.0,0.0
841e051ffffffff,2.0,0.0,0.0
841e05bffffffff,4.0,0.0,0.0
841e085ffffffff,2.0,0.0,0.0
841e0a9ffffffff,2.0,0.0,0.0
841e0b3ffffffff,31.0,31.0,0.0
841e0b7ffffffff,5.0,5.0,0.0
841e0e7ffffffff,1.0,0.0,0.0
841e12dffffffff,1.0,0.0,0.0
841e15bffffffff,4.0,0.0,0.0
841e167ffffffff,1.0,0.0,0.0
841e1b3ffffffff,37.0,37.0,0.0
841e1bbffffffff,2.0,2.0,0.0
841e265ffffffff,6.0,0.0,0.0
841e341ffffffff,2.0,0.0,0.0
841e427ffffffff,2.0,0.0,0.0
841e465ffffffff,6.0,0.0,0.0
841e527ffffffff,2.0,2.0,0.0
841e529ffffffff,10.0,10.0,0.0
841e567ffffffff,2.0,2.0,0.0
841e5cdffffffff,2.0,0.0,0.0
841e63bffffffff,2.0,0.0,0.0
841e6b3ffffffff,2.0,0.0,0.0
841e6e7ffffffff,1.0,0.0,0.0
841e733ffffffff,2.0,0.0,0.0
841e769ffffffff,4.0,0.0,0.0
841ea09ffffffff,1.0,0.0,0.0
841ea0bffffffff,3.0,1.0,0.0
841ea1bffffffff,3.0,0.0,0.0
841ea41ffffffff,3.0,3.0,0.0
841ea4dffffffff,2.0,2.0,0.0
841ea53ffffffff,2.0,0.0,0.0
841ea55ffffffff,8.0,6.0,0.0
841ea93ffffffff,1.0,1.0,0.0
841ea99ffffffff,1.0,0.0,0.0
841ec09ffffffff,3.0,0.0,0.0
841ec1dffffffff,4.0,0.0,0.0
841ec43ffffffff,2.0,0.0,0.0
841ec47ffffffff,20.0,0.0,0.0
841ec55ffffffff,3.0,0.0,0.0
841ec59ffffffff,1.0,0.0,0.0
841ec91ffffffff,2.0,0.0,0.0
