cell_id,Sporophila americana,Sporophila americana americana/dispar,Sporophila americana murallae
845f025ffffffff,2.0,0.0,0.0
845f031ffffffff,2.0,0.0,0.0
845f03dffffffff,1.0,0.0,0.0
845f083ffffffff,163.0,0.0,0.0
845f087ffffffff,2.0,0.0,0.0
845f08dffffffff,5.0,0.0,0.0
845f091ffffffff,2.0,0.0,0.0
845f095ffffffff,296.0,3.0,0.0
845f097ffffffff,5.0,0.0,0.0
845f09dffffffff,3.0,0.0,0.0
845f0b9ffffffff,5.0,0.0,0.0
845f0d7ffffffff,3.0,0.0,0.0
845f0dbffffffff,3.0,0.0,0.0
845f0e3ffffffff,4.0,0.0,0.0
845f105ffffffff,8.0,1.0,0.0
845f10dffffffff,1.0,0.0,0.0
845f113ffffffff,1.0,0.0,0.0
845f129ffffffff,13.0,0.0,0.0
845f12bffffffff,74.0,0.0,0.0
845f13bffffffff,2.0,0.0,0.0
845f13dffffffff,49.0,0.0,0.0
845f143ffffffff,7.0,0.0,0.0
845f161ffffffff,8.0,0.0,0.0
845f165ffffffff,1.0,0.0,0.0
845f1c3ffffffff,122.0,3.0,0.0
845f1c9ffffffff,2.0,0.0,0.0
845f1cbffffffff,71.0,2.0,0.0
845f1ddffffffff,4.0,0.0,0.0
845f1e9ffffffff,16.0,0.0,0.0
845f1edffffffff,3.0,0.0,0.0
845f291ffffffff,1.0,0.0,0.0
845f2b3ffffffff,2.0,0.0,0.0
845f2bbffffffff,1.0,0.0,0.0
845f487ffffffff,4.0,0.0,0.0
845f50bffffffff,19.0,0.0,0.0
84665abffffffff,2.0,0.0,2.0
8466c01ffffffff,65.0,0.0,65.0
8466c05ffffffff,6.0,0.0,6.0
8466c15ffffffff,11.0,0.0,11.0
8466c21ffffffff,61.0,0.0,61.0
8466c23ffffffff,96.0,0.0,95.0
8466c27ffffffff,13.0,0.0,13.0
8466c29ffffffff,4.0,0.0,4.0
8466c2bffffffff,11.0,0.0,11.0
8466c2dffffffff,8.0,0.0,8.0
8466c57ffffffff,2.0,0.0,2.0
8466cb3ffffffff,3.0,0.0,3.0
8466ce1ffffffff,21.0,0.0,21.0
8466ce9ffffffff,5.0,0.0,5.0
8466cedffffffff,12.0,0.0,12.0
8466d19ffffffff,2.0,0.0,2.0
8466d1bffffffff,4.0,0.0,4.0
8466d89ffffffff,2.0,0.0,2.0
8466da7ffffffff,4.0,0.0,4.0
8466dadffffffff,16.0,0.0,16.0
8466db1ffffffff,13.0,0.0,13.0
8466dc3ffffffff,131.0,0.0,128.0
8466dc7ffffffff,13.0,0.0,13.0
8466dc9ffffffff,20.0,0.0,20.0
8466dcdffffffff,3.0,0.0,3.0
8466dd1ffffffff,1.0,0.0,1.0
8466ddbffffffff,3.0,0.0,1.0
8466dddffffffff,4.0,0.0,3.0
8466de1ffffffff,53.0,0.0,52.0
8466de3ffffffff,113.0,0.0,109.0
8466de7ffffffff,56.0,0.0,56.0
8466de9ffffffff,1.0,0.0,1.0
8466debffffffff,2.0,0.0,1.0
8466ee5ffffffff,4.0,0.0,4.0
8480445ffffffff,9.0,0.0,0.0
8480469ffffffff,21.0,0.0,0.0
8480485ffffffff,3.0,0.0,0.0
84804cbffffffff,2.0,0.0,0.0
84804cdffffffff,2.0,0.0,0.0
8480651ffffffff,2.0,0.0,0.0
8480655ffffffff,9.0,0.0,0.0
8480665ffffffff,3.0,0.0,0.0
848066bffffffff,6.0,0.0,0.0
84806a3ffffffff,14.0,0.0,0.0
84806abffffffff,23.0,0.0,0.0
84806b7ffffffff,40.0,0.0,0.0
8480717ffffffff,1.0,0.0,0.0
8480737ffffffff,8.0,0.0,0.0
8480745ffffffff,8.0,0.0,0.0
8480747ffffffff,8.0,0.0,0.0
8481431ffffffff,3.0,0.0,0.0
84814a1ffffffff,4.0,0.0,0.0
84814a9ffffffff,20.0,0.0,0.0
84814adffffffff,34.0,0.0,0.0
84814d5ffffffff,45.0,0.0,0.0
