cell_id,Rallus longirostris,Rallus longirostris berryorum,Rallus longirostris cypereti,Rallus longirostris [longirostris Group]
825f0ffffffffff,55.0,0.0,0.0,0.0
825f17fffffffff,1.0,0.0,0.0,0.0
825f1ffffffffff,19.0,0.0,0.0,0.0
825f4ffffffffff,98.0,0.0,0.0,0.0
825f5ffffffffff,82.0,0.0,0.0,0.0
826747fffffffff,14.0,0.0,0.0,1.0
82674ffffffffff,4.0,0.0,0.0,0.0
826757fffffffff,178.0,0.0,0.0,8.0
82676ffffffffff,23.0,0.0,0.0,1.0
826d67fffffffff,331.0,24.0,0.0,0.0
826d6ffffffffff,252.0,0.0,0.0,0.0
82800ffffffffff,23.0,0.0,0.0,0.0
828017fffffffff,34.0,0.0,0.0,3.0
828057fffffffff,45.0,0.0,0.0,26.0
828137fffffffff,1.0,0.0,0.0,0.0
82818ffffffffff,35.0,0.0,0.0,0.0
8281a7fffffffff,40.0,0.0,0.0,3.0
828f0ffffffffff,14.0,0.0,0.0,0.0
82a597fffffffff,35.0,0.0,0.0,0.0
82a817fffffffff,100.0,0.0,0.0,6.0
82a837fffffffff,90.0,0.0,0.0,8.0
82a897fffffffff,19.0,0.0,0.0,0.0
82a8a7fffffffff,148.0,0.0,0.0,3.0
82a91ffffffffff,33.0,0.0,0.0,0.0
