cell_id,Ptilinopus fischeri,Ptilinopus fischeri fischeri/centralis,Ptilinopus fischeri meridionalis
8368c8fffffffff,10.0,0.0,0.0
8368cafffffffff,28.0,6.0,0.0
8368cefffffffff,1.0,0.0,0.0
8368d2fffffffff,241.0,69.0,0.0
8368d3fffffffff,2.0,2.0,0.0
8368ddfffffffff,2.0,1.0,0.0
8368defffffffff,2.0,0.0,0.0
839500fffffffff,4.0,1.0,0.0
839521fffffffff,3.0,2.0,0.0
839528fffffffff,2.0,0.0,0.0
