cell_id,Tauraco corythaix,Tauraco corythaix phoebus,Tauraco corythaix corythaix
839728fffffffff,4.0,2.0,0.0
83972dfffffffff,233.0,47.0,0.0
83bc09fffffffff,25.0,0.0,3.0
83bc0afffffffff,3.0,0.0,0.0
83bc0bfffffffff,9.0,0.0,0.0
83bc19fffffffff,51.0,0.0,6.0
83bc1bfffffffff,17.0,0.0,1.0
83bc40fffffffff,12.0,0.0,2.0
83bc44fffffffff,133.0,0.0,37.0
83bc45fffffffff,360.0,0.0,72.0
83bc46fffffffff,11.0,0.0,0.0
83bc54fffffffff,24.0,0.0,2.0
83bc71fffffffff,2.0,0.0,0.0
83bc72fffffffff,17.0,0.0,1.0
83bc73fffffffff,50.0,0.0,1.0
83bcd0fffffffff,211.0,70.0,0.0
83bcd2fffffffff,1.0,0.0,0.0
83bcd3fffffffff,27.0,0.0,0.0
83bcd4fffffffff,4.0,0.0,0.0
83bcd5fffffffff,2.0,2.0,0.0
83bce2fffffffff,2.0,0.0,0.0
83bce4fffffffff,2.0,0.0,0.0
83bce6fffffffff,172.0,0.0,42.0
83bcf0fffffffff,7.0,0.0,1.0
83bcf2fffffffff,2.0,0.0,0.0
83bcf5fffffffff,143.0,0.0,28.0
