cell_id,Malurus leucopterus,Malurus leucopterus leuconotus,Malurus leucopterus leucopterus/edouardi
839482fffffffff,21.0,12.0,0.0
839490fffffffff,9.0,2.0,0.0
839491fffffffff,14.0,0.0,0.0
839496fffffffff,5.0,0.0,0.0
839c60fffffffff,2.0,0.0,0.0
839c6cfffffffff,4.0,0.0,0.0
839c6dfffffffff,2.0,0.0,0.0
839d29fffffffff,2.0,0.0,0.0
839d40fffffffff,3.0,2.0,0.0
839d44fffffffff,48.0,8.0,0.0
839d45fffffffff,7.0,0.0,0.0
839d46fffffffff,26.0,7.0,0.0
839d4afffffffff,14.0,2.0,0.0
839d4cfffffffff,7.0,0.0,0.0
839d4efffffffff,7.0,0.0,0.0
839d55fffffffff,8.0,0.0,0.0
839d60fffffffff,2.0,0.0,0.0
839d61fffffffff,2.0,0.0,0.0
839d62fffffffff,20.0,2.0,0.0
839d63fffffffff,2.0,2.0,0.0
839d65fffffffff,4.0,0.0,0.0
839d68fffffffff,37.0,17.0,0.0
839d69fffffffff,3.0,3.0,0.0
839d6afffffffff,21.0,5.0,0.0
839d6bfffffffff,3.0,0.0,0.0
839d6dfffffffff,104.0,17.0,0.0
839d6efffffffff,10.0,1.0,0.0
839d70fffffffff,3.0,2.0,0.0
839d75fffffffff,3.0,2.0,0.0
83a604fffffffff,3.0,1.0,0.0
83a606fffffffff,8.0,0.0,0.0
83a610fffffffff,41.0,7.0,2.0
83a611fffffffff,16.0,8.0,0.0
83a612fffffffff,237.0,157.0,0.0
83a613fffffffff,9.0,0.0,0.0
83a615fffffffff,17.0,5.0,0.0
83a616fffffffff,18.0,16.0,0.0
83a622fffffffff,16.0,3.0,8.0
83a626fffffffff,71.0,14.0,10.0
83a630fffffffff,2.0,2.0,0.0
83a631fffffffff,63.0,33.0,0.0
83a632fffffffff,2.0,0.0,0.0
83a635fffffffff,6.0,0.0,0.0
83a636fffffffff,2.0,0.0,0.0
83a6a0fffffffff,2.0,2.0,0.0
83a6a1fffffffff,9.0,0.0,7.0
83a6a4fffffffff,8.0,2.0,2.0
83a6a6fffffffff,27.0,6.0,0.0
83a700fffffffff,18.0,0.0,0.0
83a702fffffffff,14.0,0.0,0.0
83a703fffffffff,7.0,2.0,0.0
83a704fffffffff,11.0,4.0,0.0
83a706fffffffff,5.0,0.0,0.0
83a710fffffffff,2.0,0.0,0.0
83a711fffffffff,4.0,0.0,0.0
83a712fffffffff,45.0,4.0,0.0
83a714fffffffff,8.0,0.0,0.0
83a715fffffffff,2.0,0.0,0.0
83a716fffffffff,31.0,14.0,0.0
83a718fffffffff,3.0,0.0,0.0
83a71bfffffffff,44.0,13.0,0.0
83a71cfffffffff,3.0,0.0,0.0
83a71dfffffffff,21.0,6.0,0.0
83a71efffffffff,8.0,0.0,0.0
83a722fffffffff,19.0,2.0,0.0
83a726fffffffff,89.0,10.0,0.0
83a730fffffffff,43.0,0.0,0.0
83a731fffffffff,4.0,0.0,0.0
83a732fffffffff,6.0,0.0,0.0
83a733fffffffff,15.0,0.0,0.0
83a734fffffffff,20.0,0.0,0.0
83a735fffffffff,18.0,0.0,0.0
83a736fffffffff,8.0,0.0,0.0
83a782fffffffff,21.0,0.0,0.0
83a783fffffffff,11.0,2.0,0.0
83a786fffffffff,3.0,3.0,0.0
83a788fffffffff,2.0,0.0,0.0
83a78bfffffffff,4.0,0.0,0.0
83a78efffffffff,13.0,4.0,0.0
83a796fffffffff,1.0,1.0,0.0
83a799fffffffff,2.0,0.0,2.0
83a79afffffffff,54.0,6.0,0.0
83a79cfffffffff,4.0,0.0,0.0
83a79dfffffffff,17.0,6.0,0.0
83a7a2fffffffff,2.0,0.0,0.0
83a7a4fffffffff,2.0,2.0,0.0
