cell_id,Todiramphus saurophagus,Todiramphus saurophagus saurophagus,Todiramphus saurophagus admiralitatis
8272a7fffffffff,2.0,0.0,0.0
8272affffffffff,49.0,0.0,0.0
8272b7fffffffff,1.0,0.0,0.0
8272cffffffffff,3.0,0.0,0.0
8272f7fffffffff,2.0,0.0,0.0
827397fffffffff,97.0,13.0,0.0
82739ffffffffff,326.0,47.0,0.0
827687fffffffff,4.0,0.0,0.0
827697fffffffff,1.0,0.0,0.0
82769ffffffffff,74.0,0.0,0.0
8276a7fffffffff,1.0,0.0,0.0
827787fffffffff,1.0,0.0,0.0
827797fffffffff,2.0,0.0,0.0
82779ffffffffff,3.0,0.0,0.0
829567fffffffff,1.0,1.0,0.0
82956ffffffffff,37.0,0.0,0.0
829c97fffffffff,50.0,0.0,0.0
829c9ffffffffff,2.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0
829ed7fffffffff,7.0,1.0,0.0
829edffffffffff,15.0,0.0,0.0
