cell_id,Agriornis micropterus,Agriornis micropterus andecola,Agriornis micropterus micropterus
83b243fffffffff,2.0,0.0,0.0
83b248fffffffff,5.0,0.0,0.0
83b249fffffffff,17.0,0.0,0.0
83b24bfffffffff,1.0,0.0,0.0
83b24dfffffffff,18.0,0.0,0.0
83b258fffffffff,2.0,0.0,0.0
83b259fffffffff,2.0,0.0,0.0
83b25bfffffffff,2.0,0.0,0.0
83b25efffffffff,2.0,0.0,0.0
83b268fffffffff,6.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0
83b26dfffffffff,2.0,0.0,0.0
83b274fffffffff,1.0,0.0,0.0
83b2cafffffffff,4.0,0.0,4.0
83b300fffffffff,1.0,0.0,0.0
83b301fffffffff,5.0,0.0,0.0
83b305fffffffff,7.0,0.0,0.0
83b30afffffffff,5.0,0.0,0.0
83b30bfffffffff,19.0,0.0,0.0
83b30efffffffff,19.0,0.0,0.0
83b31dfffffffff,6.0,0.0,0.0
83b320fffffffff,1.0,0.0,0.0
83b323fffffffff,3.0,0.0,0.0
83b32afffffffff,3.0,0.0,0.0
83b335fffffffff,2.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0
83b34bfffffffff,4.0,0.0,0.0
83b34dfffffffff,2.0,0.0,0.0
83b352fffffffff,2.0,0.0,0.0
83b356fffffffff,11.0,0.0,0.0
83b35efffffffff,2.0,0.0,0.0
83c2c5fffffffff,5.0,0.0,3.0
83c2cafffffffff,2.0,0.0,0.0
83c2cdfffffffff,3.0,0.0,0.0
83c2e3fffffffff,4.0,0.0,0.0
83c2e9fffffffff,13.0,0.0,0.0
83c308fffffffff,4.0,0.0,0.0
83c320fffffffff,1.0,0.0,0.0
83c324fffffffff,4.0,0.0,0.0
83c325fffffffff,5.0,0.0,0.0
83c32afffffffff,3.0,0.0,1.0
83c32efffffffff,10.0,0.0,0.0
83c34bfffffffff,2.0,0.0,0.0
83c356fffffffff,3.0,0.0,0.0
83ce80fffffffff,3.0,0.0,0.0
83ce83fffffffff,1.0,0.0,0.0
83ce9efffffffff,7.0,2.0,0.0
83cea2fffffffff,1.0,0.0,0.0
83cf12fffffffff,27.0,0.0,3.0
83cf88fffffffff,8.0,0.0,0.0
83cf91fffffffff,2.0,0.0,0.0
83cf94fffffffff,11.0,0.0,0.0
83cf98fffffffff,4.0,0.0,0.0
83cf9efffffffff,4.0,0.0,0.0
83cfa2fffffffff,3.0,0.0,0.0
83cfa4fffffffff,4.0,0.0,0.0
83cfacfffffffff,2.0,0.0,0.0
83cfaefffffffff,2.0,0.0,0.0
