cell_id,Lophophorus sclateri,Lophophorus sclateri arunachalensis,Lophophorus sclateri sclateri/orientalis
843c507ffffffff,2.0,0.0,0.0
843c521ffffffff,4.0,0.0,0.0
843c52dffffffff,2.0,0.0,0.0
843c581ffffffff,27.0,0.0,0.0
8440591ffffffff,1.0,0.0,0.0
84405a9ffffffff,1.0,0.0,0.0
