cell_id,Hemicircus concretus,Hemicircus concretus sordidus,Hemicircus concretus concretus
826437fffffffff,53.0,20.0,0.0
826507fffffffff,164.0,1.0,0.0
82651ffffffffff,130.0,7.0,0.0
826527fffffffff,148.0,0.0,0.0
826557fffffffff,1.0,0.0,0.0
826817fffffffff,35.0,2.0,0.0
82681ffffffffff,473.0,88.0,0.0
82688ffffffffff,1.0,0.0,0.0
826897fffffffff,7.0,0.0,0.0
8268affffffffff,6.0,0.0,0.0
828c17fffffffff,6.0,0.0,1.0
828c1ffffffffff,5.0,3.0,0.0
828c8ffffffffff,2.0,0.0,0.0
828c97fffffffff,2.0,0.0,0.0
828caffffffffff,22.0,1.0,0.0
828cb7fffffffff,3.0,0.0,0.0
828cd7fffffffff,3.0,0.0,0.0
828da7fffffffff,23.0,0.0,2.0
