cell_id,Cossyphicula roberti,Cossyphicula roberti roberti,Cossyphicula roberti rufescentior
8358d1fffffffff,2.0,0.0,0.0
8358d3fffffffff,41.0,38.0,0.0
836ac3fffffffff,9.0,0.0,0.0
836adcfffffffff,242.0,0.0,0.0
836adefffffffff,58.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
8382d0fffffffff,19.0,5.0,0.0
8382d1fffffffff,22.0,14.0,0.0
8382d2fffffffff,10.0,3.0,0.0
8382d3fffffffff,11.0,3.0,0.0
8396d2fffffffff,3.0,0.0,0.0
