cell_id,Tylas eduardi,Tylas eduardi eduardi,Tylas eduardi albigularis
83a210fffffffff,1.0,0.0,0.0
83a214fffffffff,342.0,0.0,0.0
83a215fffffffff,4.0,0.0,0.0
83a216fffffffff,7.0,0.0,0.0
83a222fffffffff,195.0,0.0,0.0
83a231fffffffff,224.0,0.0,0.0
83a2a1fffffffff,1.0,0.0,0.0
83a2a3fffffffff,5.0,0.0,0.0
83a2aefffffffff,15.0,0.0,0.0
83a308fffffffff,30.0,0.0,0.0
83a309fffffffff,17.0,0.0,0.0
83a30dfffffffff,2.0,0.0,0.0
83a319fffffffff,2.0,0.0,0.0
83a356fffffffff,47.0,0.0,0.0
83a376fffffffff,4.0,0.0,0.0
83a38dfffffffff,1.0,0.0,0.0
