cell_id,Branta bernicla,Branta bernicla bernicla,Branta bernicla hrota,Branta bernicla nigricans,Branta bernicla (Gray-bellied),Branta bernicla bernicla x nigricans,Branta bernicla hrota x nigricans
840130bffffffff,7.0,0.0,3.0,0.0,0.0,0.0,0.0
8401355ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8401517ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
840153bffffffff,4.0,0.0,2.0,0.0,0.0,0.0,0.0
8402411ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84024c9ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
840250bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8402c83ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,3.0,0.0,0.0,1.0,2.0,0.0,0.0
840742dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8407433ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407581ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8407589ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84075d1ffffffff,6.0,3.0,0.0,0.0,0.0,0.0,0.0
84075ddffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84075e1ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
84075ebffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8407739ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
840836dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408937ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408985ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408997ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
84089b7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8409911ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840991bffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
840c143ffffffff,35.0,0.0,0.0,6.0,0.0,0.0,0.0
840c147ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840c341ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840c34bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c421ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840c427ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840c42dffffffff,8.0,0.0,0.0,6.0,0.0,0.0,0.0
840c455ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840c501ffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
840c503ffffffff,11.0,0.0,0.0,4.0,0.0,0.0,0.0
840c511ffffffff,7.0,0.0,0.0,7.0,0.0,0.0,0.0
840c515ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
