cell_id,Turdus chiguanco,Turdus chiguanco chiguanco/conradi,Turdus chiguanco anthracinus
828b27fffffffff,512.0,0.0,0.0
828b2ffffffffff,524.0,0.0,0.0
828b67fffffffff,5330.0,106.0,0.0
828b6ffffffffff,956.0,17.0,0.0
828e67fffffffff,1692.0,0.0,0.0
828e6ffffffffff,827.0,0.0,0.0
828e77fffffffff,30.0,0.0,0.0
828f0ffffffffff,77.0,6.0,0.0
828f2ffffffffff,337.0,3.0,0.0
828f47fffffffff,28.0,0.0,0.0
828f4ffffffffff,2.0,0.0,0.0
828f57fffffffff,1418.0,0.0,0.0
828f5ffffffffff,714.0,17.0,0.0
828f77fffffffff,625.0,25.0,0.0
82b20ffffffffff,127.0,0.0,0.0
82b22ffffffffff,44.0,0.0,0.0
82b247fffffffff,1802.0,0.0,0.0
82b24ffffffffff,9.0,0.0,0.0
82b257fffffffff,57.0,0.0,0.0
82b25ffffffffff,2436.0,0.0,0.0
82b267fffffffff,31.0,0.0,0.0
82b277fffffffff,533.0,0.0,3.0
82b2cffffffffff,154.0,0.0,0.0
82b2e7fffffffff,107.0,0.0,0.0
82b2effffffffff,664.0,0.0,0.0
82b307fffffffff,1238.0,5.0,0.0
82b30ffffffffff,130.0,0.0,3.0
82b327fffffffff,843.0,0.0,0.0
82b32ffffffffff,104.0,0.0,0.0
82b337fffffffff,561.0,0.0,0.0
82b347fffffffff,232.0,0.0,0.0
82b357fffffffff,1114.0,0.0,1.0
82b35ffffffffff,1855.0,0.0,44.0
82b367fffffffff,3.0,0.0,0.0
82b377fffffffff,494.0,0.0,0.0
82c307fffffffff,8.0,0.0,0.0
82c30ffffffffff,4.0,0.0,0.0
82c327fffffffff,124.0,0.0,0.0
82c32ffffffffff,515.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0
82c367fffffffff,212.0,0.0,0.0
82c36ffffffffff,14.0,0.0,0.0
82c377fffffffff,134.0,0.0,0.0
82ce87fffffffff,84.0,0.0,0.0
82ce97fffffffff,393.0,0.0,0.0
82ce9ffffffffff,623.0,0.0,0.0
