cell_id,Xiphorhynchus ocellatus,Xiphorhynchus ocellatus [chunchotambo Group],Xiphorhynchus ocellatus beauperthuysii/lineatocapilla,Xiphorhynchus ocellatus ocellatus/perplexus
8466c05ffffffff,1.0,0.0,0.0,0.0
8466c5dffffffff,3.0,0.0,0.0,0.0
8466d1bffffffff,9.0,7.0,0.0,0.0
8466dadffffffff,8.0,8.0,0.0,0.0
8466debffffffff,3.0,0.0,0.0,0.0
848a459ffffffff,2.0,0.0,0.0,2.0
848a81bffffffff,1.0,0.0,0.0,1.0
848aa9dffffffff,1.0,0.0,0.0,1.0
848b637ffffffff,6.0,6.0,0.0,0.0
848b6edffffffff,3.0,0.0,0.0,0.0
848e64bffffffff,2.0,2.0,0.0,0.0
848f463ffffffff,1.0,1.0,0.0,0.0
