cell_id,Leptosomus discolor,Leptosomus discolor gracilis,Leptosomus discolor intermedius,Leptosomus discolor discolor
84a2a49ffffffff,8.0,0.0,0.0,0.0
84a3091ffffffff,1.0,0.0,0.0,0.0
