cell_id,Pachycephala philippinensis,Pachycephala philippinensis fallax,Pachycephala philippinensis illex,Pachycephala philippinensis [philippinensis Group]
834b93fffffffff,9.0,0.0,0.0,0.0
836841fffffffff,6.0,0.0,0.0,0.0
836842fffffffff,10.0,0.0,0.0,0.0
836843fffffffff,167.0,0.0,0.0,16.0
836844fffffffff,79.0,0.0,0.0,0.0
836845fffffffff,1.0,0.0,0.0,0.0
836846fffffffff,4.0,0.0,0.0,0.0
83684efffffffff,205.0,0.0,0.0,9.0
836855fffffffff,10.0,0.0,0.0,0.0
836856fffffffff,30.0,0.0,0.0,8.0
836858fffffffff,19.0,0.0,0.0,0.0
83685cfffffffff,102.0,0.0,0.0,6.0
83685dfffffffff,71.0,0.0,0.0,1.0
83685efffffffff,155.0,0.0,0.0,20.0
83686efffffffff,30.0,0.0,0.0,0.0
836943fffffffff,7.0,0.0,0.0,0.0
83694afffffffff,10.0,0.0,0.0,0.0
83694cfffffffff,8.0,0.0,0.0,3.0
83694efffffffff,214.0,0.0,0.0,12.0
836968fffffffff,5.0,0.0,0.0,1.0
83696cfffffffff,5.0,0.0,0.0,1.0
83696dfffffffff,1.0,0.0,0.0,0.0
