cell_id,Todiramphus tristrami,Todiramphus tristrami matthiae,Todiramphus tristrami stresemanni,Todiramphus tristrami [nusae Group],Todiramphus tristrami tristrami,Todiramphus tristrami alberti
837680fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
837683fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837684fffffffff,5.0,0.0,0.0,0.0,0.0,5.0
837686fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
83768afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837699fffffffff,29.0,0.0,0.0,0.0,0.0,0.0
83769dfffffffff,36.0,0.0,0.0,0.0,0.0,6.0
8376a2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
837791fffffffff,16.0,0.0,0.0,3.0,0.0,0.0
837795fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
837798fffffffff,5.0,0.0,0.0,1.0,0.0,0.0
837799fffffffff,9.0,0.0,0.0,7.0,0.0,0.0
83779afffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83779bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83779cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
839c90fffffffff,119.0,0.0,0.0,0.0,59.0,0.0
839c91fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
839c96fffffffff,4.0,0.0,0.0,0.0,3.0,0.0
839e81fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839ed1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839ed8fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839edafffffffff,9.0,0.0,0.0,0.0,0.0,0.0
839edcfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
839edefffffffff,10.0,0.0,0.0,0.0,0.0,0.0
