cell_id,Aulacorhynchus albivitta,Aulacorhynchus albivitta lautus,Aulacorhynchus albivitta griseigularis,Aulacorhynchus albivitta albivitta/phaeolaemus,Aulacorhynchus albivitta cyanolaemus,Aulacorhynchus albivitta atrogularis/dimidiatus
836601fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,352.0,0.0,0.0,19.0,0.0,0.0
83660afffffffff,22.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,418.0,0.0,0.0,1.0,0.0,0.0
83660cfffffffff,147.0,0.0,0.0,32.0,0.0,0.0
83660dfffffffff,31.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,530.0,0.0,10.0,18.0,0.0,0.0
836619fffffffff,1833.0,0.0,46.0,4.0,0.0,0.0
83661bfffffffff,2164.0,0.0,127.0,112.0,0.0,0.0
83661dfffffffff,61.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,2357.0,1420.0,0.0,0.0,0.0,0.0
836621fffffffff,1073.0,0.0,0.0,346.0,0.0,0.0
836622fffffffff,9.0,9.0,0.0,0.0,0.0,0.0
836623fffffffff,57.0,40.0,0.0,0.0,0.0,0.0
836629fffffffff,193.0,0.0,0.0,22.0,0.0,0.0
83662bfffffffff,48.0,0.0,0.0,27.0,0.0,0.0
83662dfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,9.0,0.0,0.0,1.0,0.0,0.0
8366c0fffffffff,80.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,152.0,0.0,0.0,1.0,0.0,0.0
8366c4fffffffff,147.0,0.0,11.0,0.0,0.0,0.0
8366c6fffffffff,607.0,0.0,10.0,9.0,0.0,0.0
8366d0fffffffff,9.0,0.0,3.0,0.0,0.0,0.0
8366d1fffffffff,17.0,0.0,0.0,8.0,0.0,0.0
8366d5fffffffff,82.0,0.0,2.0,8.0,0.0,0.0
8366defffffffff,945.0,0.0,0.0,289.0,0.0,0.0
8366e0fffffffff,1431.0,0.0,0.0,169.0,0.0,0.0
8366e2fffffffff,87.0,0.0,0.0,0.0,0.0,0.0
8366e3fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,330.0,0.0,0.0,17.0,0.0,0.0
8366e5fffffffff,220.0,0.0,0.0,1.0,0.0,0.0
8366e6fffffffff,5692.0,0.0,305.0,143.0,0.0,0.0
8366f0fffffffff,7.0,0.0,0.0,4.0,0.0,0.0
8366f1fffffffff,1321.0,0.0,36.0,141.0,0.0,0.0
8366f3fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8366f5fffffffff,520.0,0.0,9.0,9.0,0.0,0.0
83675afffffffff,58.0,0.0,0.0,0.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,26.0,0.0,0.0,0.0,0.0,0.0
838b21fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838b22fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838b23fffffffff,1.0,0.0,0.0,0.0,0.0,1.0
838b2cfffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838b40fffffffff,20.0,0.0,0.0,0.0,0.0,1.0
838b42fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838b44fffffffff,35.0,0.0,0.0,0.0,0.0,2.0
838b5cfffffffff,23.0,0.0,0.0,0.0,0.0,16.0
838b61fffffffff,322.0,0.0,0.0,0.0,0.0,32.0
838b62fffffffff,21.0,0.0,0.0,0.0,0.0,2.0
838b63fffffffff,104.0,0.0,0.0,0.0,0.0,11.0
838b69fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
838b6cfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838b6efffffffff,16.0,0.0,0.0,0.0,0.0,0.0
838b71fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
838b74fffffffff,62.0,0.0,0.0,0.0,0.0,0.0
838b75fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838e64fffffffff,111.0,0.0,0.0,0.0,0.0,0.0
838e65fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
838e6cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838e6dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f2dfffffffff,21.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838f42fffffffff,61.0,0.0,0.0,0.0,0.0,0.0
838f43fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,143.0,0.0,0.0,0.0,23.0,6.0
838f4afffffffff,71.0,0.0,0.0,0.0,0.0,7.0
838f4bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838f54fffffffff,67.0,0.0,0.0,0.0,0.0,0.0
838f55fffffffff,183.0,0.0,0.0,0.0,44.0,0.0
838f5dfffffffff,15.0,0.0,0.0,0.0,0.0,0.0
838f6bfffffffff,8.0,0.0,0.0,0.0,0.0,4.0
838f70fffffffff,6.0,0.0,0.0,0.0,2.0,0.0
838f72fffffffff,65.0,0.0,0.0,0.0,13.0,0.0
838f73fffffffff,170.0,0.0,0.0,0.0,36.0,0.0
838f74fffffffff,11.0,0.0,0.0,0.0,3.0,0.0
838f76fffffffff,13.0,0.0,0.0,0.0,5.0,0.0
83b325fffffffff,68.0,0.0,0.0,0.0,0.0,12.0
