cell_id,Buteo lineatus,Buteo lineatus [lineatus Group],Buteo lineatus extimus,Buteo lineatus elegans
832601fffffffff,12.0,7.0,0.0,0.0
832603fffffffff,8.0,0.0,0.0,0.0
832604fffffffff,3.0,1.0,0.0,0.0
832605fffffffff,5.0,0.0,0.0,0.0
832608fffffffff,11.0,0.0,0.0,0.0
83260afffffffff,45.0,0.0,0.0,0.0
83260bfffffffff,6.0,4.0,0.0,0.0
83260cfffffffff,4.0,0.0,0.0,0.0
83260dfffffffff,6.0,0.0,0.0,0.0
83260efffffffff,25.0,16.0,0.0,0.0
832611fffffffff,2.0,0.0,0.0,0.0
832618fffffffff,1.0,0.0,0.0,0.0
832619fffffffff,6.0,0.0,0.0,0.0
832623fffffffff,5.0,0.0,0.0,0.0
832624fffffffff,2.0,0.0,0.0,0.0
832625fffffffff,2.0,0.0,0.0,0.0
832626fffffffff,8.0,0.0,0.0,0.0
832628fffffffff,1.0,0.0,0.0,0.0
83262bfffffffff,2.0,0.0,0.0,0.0
83262efffffffff,3.0,0.0,0.0,0.0
832640fffffffff,2.0,0.0,0.0,0.0
832641fffffffff,3.0,0.0,0.0,0.0
832642fffffffff,3.0,0.0,0.0,0.0
832643fffffffff,3.0,0.0,0.0,0.0
832644fffffffff,1.0,0.0,0.0,0.0
832646fffffffff,7.0,0.0,0.0,0.0
832648fffffffff,19.0,12.0,0.0,0.0
832649fffffffff,4.0,0.0,0.0,0.0
83264afffffffff,21.0,18.0,0.0,0.0
83264bfffffffff,6.0,6.0,0.0,0.0
83264cfffffffff,24.0,13.0,0.0,0.0
83264dfffffffff,13.0,7.0,0.0,0.0
83264efffffffff,14.0,4.0,0.0,0.0
832651fffffffff,1.0,0.0,0.0,0.0
832652fffffffff,8.0,3.0,0.0,0.0
832653fffffffff,1.0,0.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0,0.0
832655fffffffff,10.0,0.0,0.0,0.0
832656fffffffff,25.0,7.0,0.0,0.0
832658fffffffff,3.0,0.0,0.0,0.0
832659fffffffff,20.0,15.0,0.0,0.0
83265afffffffff,9.0,2.0,0.0,0.0
83265dfffffffff,2.0,2.0,0.0,0.0
83265efffffffff,1.0,0.0,0.0,0.0
832662fffffffff,19.0,0.0,0.0,0.0
832664fffffffff,92.0,9.0,0.0,0.0
832665fffffffff,2.0,0.0,0.0,0.0
832666fffffffff,13.0,0.0,0.0,0.0
832669fffffffff,4.0,0.0,0.0,0.0
83266afffffffff,2.0,0.0,0.0,0.0
83266bfffffffff,2.0,0.0,0.0,0.0
83266cfffffffff,1.0,0.0,0.0,0.0
83266dfffffffff,3.0,1.0,0.0,0.0
83266efffffffff,2.0,0.0,0.0,0.0
832670fffffffff,1.0,0.0,0.0,0.0
832672fffffffff,8.0,0.0,0.0,0.0
832674fffffffff,1.0,0.0,0.0,0.0
832676fffffffff,4.0,0.0,0.0,0.0
83268dfffffffff,6.0,0.0,0.0,0.0
832690fffffffff,24.0,0.0,0.0,8.0
832692fffffffff,15.0,0.0,0.0,0.0
832696fffffffff,4.0,0.0,0.0,2.0
8326a8fffffffff,31.0,0.0,0.0,0.0
8326aafffffffff,1.0,0.0,0.0,0.0
8326c2fffffffff,3.0,0.0,0.0,0.0
8326c3fffffffff,2.0,0.0,0.0,0.0
8326c4fffffffff,13.0,0.0,0.0,0.0
8326c5fffffffff,3.0,2.0,0.0,0.0
8326c8fffffffff,31.0,0.0,0.0,0.0
8326c9fffffffff,19.0,0.0,0.0,0.0
8326cbfffffffff,7.0,0.0,0.0,0.0
8326ccfffffffff,3.0,3.0,0.0,0.0
8326d0fffffffff,1.0,0.0,0.0,0.0
8326d2fffffffff,7.0,0.0,0.0,0.0
8326d3fffffffff,1.0,0.0,0.0,0.0
8326d4fffffffff,15.0,0.0,0.0,0.0
8326d5fffffffff,1.0,0.0,0.0,0.0
8326dafffffffff,7.0,0.0,0.0,0.0
8326ddfffffffff,3.0,0.0,0.0,0.0
8326defffffffff,10.0,0.0,0.0,0.0
8326e1fffffffff,1.0,0.0,0.0,0.0
8326e2fffffffff,14.0,0.0,0.0,0.0
8326e3fffffffff,2.0,0.0,0.0,0.0
8326e4fffffffff,6.0,0.0,0.0,0.0
8326e5fffffffff,7.0,5.0,0.0,0.0
8326e6fffffffff,2.0,0.0,0.0,0.0
8326edfffffffff,3.0,0.0,0.0,0.0
8326eefffffffff,4.0,4.0,0.0,0.0
8326f1fffffffff,2.0,0.0,0.0,0.0
8326f2fffffffff,1.0,0.0,0.0,0.0
832709fffffffff,3.0,0.0,0.0,0.0
83271afffffffff,4.0,0.0,0.0,0.0
83271efffffffff,2.0,0.0,0.0,0.0
832740fffffffff,15.0,0.0,0.0,0.0
832741fffffffff,15.0,0.0,0.0,0.0
832742fffffffff,12.0,0.0,0.0,0.0
832743fffffffff,133.0,0.0,0.0,0.0
832745fffffffff,4.0,0.0,0.0,0.0
832746fffffffff,44.0,1.0,0.0,0.0
832748fffffffff,41.0,0.0,0.0,0.0
832749fffffffff,72.0,0.0,0.0,0.0
83274afffffffff,14.0,0.0,0.0,0.0
83274bfffffffff,21.0,0.0,0.0,0.0
83274cfffffffff,19.0,0.0,0.0,0.0
83274dfffffffff,85.0,1.0,0.0,0.0
83274efffffffff,8.0,0.0,0.0,0.0
832751fffffffff,18.0,0.0,0.0,0.0
832752fffffffff,2.0,0.0,0.0,0.0
832753fffffffff,2.0,0.0,0.0,0.0
832754fffffffff,3.0,0.0,0.0,0.0
832755fffffffff,11.0,3.0,0.0,0.0
832756fffffffff,68.0,2.0,0.0,0.0
832758fffffffff,325.0,6.0,0.0,0.0
832759fffffffff,285.0,4.0,0.0,0.0
83275afffffffff,8.0,0.0,0.0,0.0
83275bfffffffff,25.0,0.0,0.0,0.0
83275cfffffffff,74.0,0.0,0.0,0.0
83275dfffffffff,275.0,8.0,0.0,0.0
83275efffffffff,3.0,0.0,0.0,0.0
832761fffffffff,4.0,0.0,0.0,0.0
832763fffffffff,16.0,0.0,0.0,0.0
832768fffffffff,6.0,0.0,0.0,0.0
83276afffffffff,2.0,1.0,0.0,0.0
83276bfffffffff,19.0,0.0,0.0,0.0
83276cfffffffff,2.0,0.0,0.0,0.0
83276dfffffffff,4.0,0.0,0.0,0.0
83276efffffffff,1.0,0.0,0.0,0.0
832771fffffffff,6.0,0.0,0.0,0.0
832773fffffffff,4.0,0.0,0.0,0.0
832802fffffffff,6.0,0.0,0.0,0.0
832810fffffffff,5.0,0.0,0.0,0.0
832812fffffffff,4.0,0.0,0.0,2.0
832813fffffffff,4.0,0.0,0.0,2.0
832814fffffffff,50.0,0.0,0.0,40.0
832816fffffffff,1.0,0.0,0.0,0.0
832818fffffffff,4.0,0.0,0.0,4.0
832819fffffffff,2.0,0.0,0.0,2.0
83281bfffffffff,8.0,0.0,0.0,0.0
83281efffffffff,47.0,0.0,0.0,8.0
832830fffffffff,262.0,0.0,0.0,25.0
832831fffffffff,6.0,0.0,0.0,1.0
832832fffffffff,1404.0,0.0,0.0,1399.0
832833fffffffff,13.0,0.0,0.0,2.0
832834fffffffff,18.0,0.0,0.0,6.0
832835fffffffff,19.0,0.0,0.0,7.0
832836fffffffff,2735.0,0.0,0.0,411.0
832880fffffffff,4.0,0.0,0.0,2.0
832881fffffffff,2.0,0.0,0.0,0.0
832884fffffffff,23.0,0.0,0.0,0.0
832885fffffffff,15.0,0.0,0.0,0.0
832886fffffffff,4.0,0.0,0.0,0.0
832888fffffffff,9.0,0.0,0.0,0.0
832889fffffffff,10.0,0.0,0.0,0.0
83288cfffffffff,15.0,0.0,0.0,9.0
83288dfffffffff,6.0,0.0,0.0,0.0
83288efffffffff,3.0,0.0,0.0,3.0
8328a1fffffffff,7.0,0.0,0.0,0.0
8328a4fffffffff,1.0,0.0,0.0,0.0
8328a8fffffffff,1.0,0.0,0.0,0.0
8328a9fffffffff,20.0,0.0,0.0,0.0
8328adfffffffff,1.0,0.0,0.0,0.0
8328aefffffffff,60.0,0.0,0.0,0.0
8328b0fffffffff,9.0,0.0,0.0,0.0
8328b1fffffffff,16.0,0.0,0.0,0.0
8328b5fffffffff,4.0,0.0,0.0,0.0
8328c2fffffffff,2.0,0.0,0.0,0.0
8328c6fffffffff,44.0,0.0,0.0,2.0
8328d0fffffffff,3.0,0.0,0.0,0.0
8328d1fffffffff,9.0,0.0,0.0,0.0
8328d2fffffffff,2.0,0.0,0.0,0.0
8328d3fffffffff,49.0,0.0,0.0,10.0
8328d4fffffffff,8.0,0.0,0.0,0.0
8328d5fffffffff,645.0,0.0,0.0,27.0
8328dcfffffffff,11.0,0.0,0.0,0.0
8328f0fffffffff,115.0,0.0,0.0,5.0
8328f1fffffffff,31.0,0.0,0.0,1.0
8328f2fffffffff,22.0,0.0,0.0,0.0
8328f3fffffffff,11.0,0.0,0.0,0.0
8328f4fffffffff,12.0,0.0,0.0,0.0
8328f5fffffffff,14.0,0.0,0.0,6.0
8328f6fffffffff,8.0,0.0,0.0,0.0
832912fffffffff,4.0,0.0,0.0,3.0
832913fffffffff,1.0,0.0,0.0,0.0
83291afffffffff,3.0,0.0,0.0,1.0
832981fffffffff,1.0,0.0,0.0,0.0
832984fffffffff,44.0,0.0,0.0,0.0
832985fffffffff,5.0,0.0,0.0,0.0
832989fffffffff,31.0,0.0,0.0,31.0
83298bfffffffff,2.0,0.0,0.0,0.0
83298cfffffffff,115.0,0.0,0.0,5.0
83298dfffffffff,51.0,0.0,0.0,19.0
83298efffffffff,1.0,0.0,0.0,0.0
832991fffffffff,2.0,0.0,0.0,0.0
832994fffffffff,2.0,0.0,0.0,0.0
832995fffffffff,26.0,0.0,0.0,13.0
83299bfffffffff,5.0,0.0,0.0,2.0
8329a0fffffffff,67.0,0.0,0.0,5.0
8329a1fffffffff,9.0,0.0,0.0,3.0
8329a2fffffffff,18.0,0.0,0.0,2.0
8329a3fffffffff,4.0,0.0,0.0,0.0
8329a4fffffffff,689.0,0.0,0.0,660.0
8329a5fffffffff,13.0,0.0,0.0,2.0
8329a6fffffffff,165.0,0.0,0.0,67.0
8329a8fffffffff,18.0,0.0,0.0,18.0
8329a9fffffffff,6.0,0.0,0.0,0.0
8329aafffffffff,3.0,0.0,0.0,2.0
8329abfffffffff,1.0,0.0,0.0,0.0
8329acfffffffff,3.0,0.0,0.0,2.0
8329adfffffffff,189.0,0.0,0.0,179.0
8329aefffffffff,5.0,0.0,0.0,0.0
8329b0fffffffff,20.0,0.0,0.0,7.0
8329b1fffffffff,17.0,0.0,0.0,3.0
8329b2fffffffff,36.0,0.0,0.0,2.0
8329b5fffffffff,36.0,0.0,0.0,5.0
8329b6fffffffff,497.0,0.0,0.0,177.0
832a06fffffffff,6.0,0.0,0.0,0.0
832a10fffffffff,421.0,24.0,0.0,0.0
832a12fffffffff,562.0,17.0,0.0,0.0
832a13fffffffff,320.0,1.0,0.0,0.0
832a14fffffffff,25.0,7.0,0.0,0.0
832a15fffffffff,79.0,13.0,0.0,0.0
832a16fffffffff,5.0,0.0,0.0,0.0
832a30fffffffff,177.0,26.0,0.0,0.0
832a31fffffffff,70.0,4.0,0.0,0.0
832a32fffffffff,172.0,17.0,0.0,0.0
832a33fffffffff,37.0,4.0,0.0,0.0
832a34fffffffff,100.0,32.0,0.0,0.0
832a36fffffffff,34.0,1.0,0.0,0.0
832a82fffffffff,3.0,0.0,0.0,0.0
832a84fffffffff,3.0,0.0,0.0,0.0
832a85fffffffff,1.0,1.0,0.0,0.0
832a86fffffffff,1.0,0.0,0.0,0.0
832a8bfffffffff,4.0,0.0,0.0,0.0
832a8cfffffffff,3.0,0.0,0.0,0.0
832a94fffffffff,16.0,0.0,0.0,0.0
832a95fffffffff,26.0,1.0,0.0,0.0
832a9cfffffffff,2.0,0.0,0.0,0.0
832aa1fffffffff,3.0,3.0,0.0,0.0
832aa2fffffffff,2.0,0.0,0.0,0.0
832aa3fffffffff,3.0,1.0,0.0,0.0
832aa4fffffffff,98.0,31.0,0.0,0.0
832aa5fffffffff,1.0,0.0,0.0,0.0
832aa6fffffffff,10.0,0.0,0.0,0.0
832aa8fffffffff,125.0,9.0,0.0,0.0
832aaafffffffff,14.0,2.0,0.0,0.0
832aacfffffffff,791.0,42.0,0.0,0.0
832aadfffffffff,122.0,16.0,0.0,0.0
832aaefffffffff,29.0,3.0,0.0,0.0
832ab0fffffffff,93.0,0.0,0.0,0.0
832ab1fffffffff,26.0,0.0,0.0,0.0
832ab2fffffffff,312.0,7.0,0.0,0.0
832ab3fffffffff,2.0,0.0,0.0,0.0
832ab4fffffffff,199.0,46.0,0.0,0.0
832ab5fffffffff,114.0,40.0,0.0,0.0
832ab6fffffffff,33.0,3.0,0.0,0.0
832ad0fffffffff,2.0,2.0,0.0,0.0
832ad6fffffffff,1.0,0.0,0.0,0.0
832af6fffffffff,2.0,0.0,0.0,0.0
832b00fffffffff,8.0,0.0,0.0,0.0
832b03fffffffff,30.0,0.0,0.0,0.0
832b0afffffffff,64.0,0.0,0.0,0.0
832b0efffffffff,11.0,0.0,0.0,0.0
832b12fffffffff,4.0,0.0,0.0,0.0
832b14fffffffff,3.0,0.0,0.0,0.0
832b16fffffffff,35.0,0.0,0.0,0.0
832b18fffffffff,4.0,0.0,0.0,0.0
832b1afffffffff,110.0,8.0,0.0,0.0
832b1cfffffffff,9.0,0.0,0.0,0.0
832b1dfffffffff,20.0,0.0,0.0,0.0
832b80fffffffff,2.0,0.0,0.0,0.0
832b81fffffffff,75.0,7.0,0.0,0.0
832b83fffffffff,34.0,7.0,0.0,0.0
832b85fffffffff,3.0,0.0,0.0,0.0
832b88fffffffff,6.0,0.0,0.0,0.0
832b89fffffffff,16.0,0.0,0.0,0.0
832b8afffffffff,20.0,4.0,0.0,0.0
832b8bfffffffff,7.0,0.0,0.0,0.0
832b8cfffffffff,36.0,4.0,0.0,0.0
832b8dfffffffff,49.0,0.0,0.0,0.0
832b8efffffffff,67.0,15.0,0.0,0.0
832b90fffffffff,2.0,0.0,0.0,0.0
832b98fffffffff,63.0,0.0,0.0,0.0
832b99fffffffff,41.0,14.0,0.0,0.0
832b9afffffffff,15.0,0.0,0.0,0.0
832b9bfffffffff,133.0,7.0,0.0,0.0
832b9cfffffffff,27.0,2.0,0.0,0.0
832b9dfffffffff,154.0,27.0,0.0,0.0
832b9efffffffff,6.0,0.0,0.0,0.0
832ba0fffffffff,4.0,0.0,0.0,0.0
832ba5fffffffff,62.0,0.0,0.0,0.0
832ba8fffffffff,14.0,0.0,0.0,0.0
832ba9fffffffff,6.0,0.0,0.0,0.0
832baafffffffff,310.0,4.0,0.0,0.0
832babfffffffff,65.0,0.0,0.0,0.0
