cell_id,Numida meleagris,Numida meleagris sabyi,Numida meleagris galeatus,Numida meleagris meleagris/somaliensis,Numida meleagris reichenowi,Numida meleagris [mitratus Group]
821257fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82185ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82190ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
821947fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82194ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
82195ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0
821977fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
821ed7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82260ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82262ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822647fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82264ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822657fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822667fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822687fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82268ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0
822697fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
82269ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8226a7fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8226affffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8226c7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8226cffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8226dffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8226e7fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82274ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
822757fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82275ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
822767fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
82276ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8227affffffffff,3.0,0.0,0.0,0.0,0.0,0.0
822807fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
822837fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
82288ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0
82289ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
