cell_id,Larus michahellis,Larus michahellis atlantis,Larus michahellis michahellis
820897fffffffff,2.0,0.0,0.0
821847fffffffff,63.0,0.0,0.0
82184ffffffffff,14109.0,0.0,31.0
82185ffffffffff,4630.0,0.0,0.0
821867fffffffff,47.0,0.0,14.0
82186ffffffffff,274.0,0.0,6.0
821877fffffffff,69.0,0.0,1.0
821947fffffffff,657.0,0.0,132.0
82194ffffffffff,540.0,0.0,95.0
821957fffffffff,8.0,0.0,0.0
82195ffffffffff,309.0,0.0,18.0
82196ffffffffff,172.0,0.0,2.0
821e07fffffffff,1058.0,0.0,62.0
821e0ffffffffff,840.0,0.0,23.0
821e17fffffffff,1131.0,0.0,20.0
821e1ffffffffff,870.0,0.0,17.0
821e27fffffffff,30.0,0.0,0.0
821e2ffffffffff,3.0,0.0,0.0
821e37fffffffff,459.0,0.0,12.0
821e4ffffffffff,1.0,0.0,0.0
821e57fffffffff,1.0,0.0,0.0
821e5ffffffffff,119.0,0.0,0.0
821e87fffffffff,1705.0,0.0,66.0
821e8ffffffffff,65.0,0.0,5.0
821e97fffffffff,98.0,0.0,0.0
821e9ffffffffff,310.0,0.0,9.0
821ea7fffffffff,2111.0,0.0,15.0
821eaffffffffff,848.0,0.0,26.0
821eb7fffffffff,1065.0,0.0,78.0
821ec7fffffffff,2432.0,0.0,180.0
821ecffffffffff,6479.0,0.0,157.0
821ed7fffffffff,883.0,0.0,45.0
821edffffffffff,3156.0,0.0,148.0
821ee7fffffffff,193.0,0.0,0.0
821eeffffffffff,1370.0,0.0,128.0
821ef7fffffffff,328.0,0.0,1.0
821f07fffffffff,4.0,0.0,0.0
821f0ffffffffff,12.0,0.0,0.0
821f17fffffffff,37.0,0.0,1.0
821f1ffffffffff,86.0,0.0,10.0
821f27fffffffff,1.0,0.0,0.0
821f2ffffffffff,11.0,0.0,0.0
821f37fffffffff,18.0,0.0,0.0
821f47fffffffff,1.0,0.0,0.0
821f57fffffffff,13.0,0.0,0.0
821f5ffffffffff,4.0,0.0,0.0
821f77fffffffff,11.0,0.0,0.0
821f87fffffffff,2962.0,0.0,90.0
821f8ffffffffff,2097.0,0.0,312.0
821f97fffffffff,532.0,0.0,208.0
821f9ffffffffff,1057.0,0.0,118.0
821fa7fffffffff,96.0,0.0,8.0
821faffffffffff,1046.0,0.0,11.0
821fb7fffffffff,399.0,0.0,51.0
822c27fffffffff,560.0,0.0,5.0
822c2ffffffffff,11.0,0.0,0.0
822d07fffffffff,316.0,0.0,2.0
822d0ffffffffff,6.0,0.0,0.0
822d17fffffffff,174.0,0.0,2.0
822d1ffffffffff,35.0,0.0,4.0
822d27fffffffff,185.0,0.0,0.0
822d2ffffffffff,37.0,0.0,0.0
822d37fffffffff,442.0,0.0,8.0
822d57fffffffff,4.0,0.0,0.0
822d77fffffffff,30.0,0.0,0.0
822da7fffffffff,1017.0,0.0,41.0
822daffffffffff,63.0,0.0,0.0
822db7fffffffff,1250.0,0.0,147.0
823427fffffffff,1492.0,953.0,0.0
823437fffffffff,1009.0,850.0,0.0
823447fffffffff,259.0,131.0,0.0
82344ffffffffff,964.0,463.0,0.0
823467fffffffff,956.0,391.0,0.0
82346ffffffffff,2051.0,750.0,0.0
82351ffffffffff,4349.0,3644.0,0.0
8235affffffffff,1227.0,1009.0,0.0
823827fffffffff,3380.0,0.0,200.0
82382ffffffffff,5.0,0.0,0.0
823837fffffffff,14.0,0.0,0.0
823847fffffffff,2.0,0.0,2.0
82384ffffffffff,104.0,0.0,0.0
823867fffffffff,29.0,0.0,0.0
82386ffffffffff,169.0,0.0,27.0
823877fffffffff,27.0,0.0,0.0
823907fffffffff,431.0,0.0,6.0
82390ffffffffff,437.0,0.0,0.0
823917fffffffff,15307.0,0.0,225.0
82391ffffffffff,15660.0,0.0,392.0
823927fffffffff,15803.0,0.0,10.0
82392ffffffffff,2800.0,0.0,17.0
823937fffffffff,7287.0,0.0,71.0
823947fffffffff,7730.0,0.0,77.0
82394ffffffffff,43.0,0.0,0.0
823957fffffffff,6063.0,0.0,1.0
82395ffffffffff,851.0,0.0,0.0
823967fffffffff,505.0,0.0,34.0
82396ffffffffff,3188.0,0.0,181.0
823977fffffffff,8826.0,0.0,10.0
823987fffffffff,651.0,0.0,58.0
82398ffffffffff,1.0,0.0,1.0
823997fffffffff,329.0,0.0,38.0
8239affffffffff,442.0,0.0,68.0
823e67fffffffff,2.0,0.0,0.0
823e6ffffffffff,233.0,0.0,0.0
823f27fffffffff,12.0,0.0,0.0
823f2ffffffffff,621.0,0.0,23.0
823f37fffffffff,578.0,0.0,4.0
823f47fffffffff,134.0,0.0,17.0
823f4ffffffffff,239.0,0.0,39.0
823f67fffffffff,1508.0,0.0,39.0
823f6ffffffffff,489.0,0.0,14.0
823f77fffffffff,994.0,0.0,50.0
82521ffffffffff,6.0,0.0,0.0
825417fffffffff,4.0,0.0,0.0
825437fffffffff,2.0,0.0,0.0
825497fffffffff,9.0,0.0,0.0
8254affffffffff,19.0,0.0,0.0
8254b7fffffffff,1.0,0.0,0.0
825517fffffffff,82.0,0.0,7.0
825537fffffffff,24.0,1.0,3.0
82574ffffffffff,7.0,0.0,0.0
