cell_id,Peucaea ruficauda,Peucaea ruficauda acuminata,Peucaea ruficauda [ruficauda Group]
8445241ffffffff,9.0,0.0,0.0
8445249ffffffff,149.0,0.0,0.0
844524bffffffff,19.0,0.0,0.0
844524dffffffff,20.0,0.0,0.0
8445251ffffffff,96.0,0.0,0.0
8445255ffffffff,7.0,0.0,0.0
8445257ffffffff,2.0,0.0,0.0
8445259ffffffff,7.0,0.0,0.0
844525bffffffff,305.0,0.0,0.0
844525dffffffff,15.0,0.0,0.0
8445261ffffffff,4.0,0.0,0.0
8445265ffffffff,1.0,0.0,0.0
8445269ffffffff,78.0,0.0,0.0
844526bffffffff,2.0,0.0,0.0
844526dffffffff,12.0,0.0,0.0
844534bffffffff,2.0,0.0,0.0
8445351ffffffff,2.0,0.0,0.0
8445367ffffffff,1.0,0.0,0.0
844814bffffffff,1.0,0.0,0.0
8448305ffffffff,2.0,0.0,0.0
8448329ffffffff,19.0,0.0,0.0
844832bffffffff,3.0,0.0,0.0
844832dffffffff,2.0,0.0,0.0
8448361ffffffff,350.0,0.0,0.0
8448363ffffffff,590.0,0.0,0.0
8448365ffffffff,136.0,0.0,0.0
8448367ffffffff,21.0,0.0,0.0
8448369ffffffff,1171.0,0.0,0.0
844836dffffffff,196.0,0.0,0.0
8449801ffffffff,52.0,0.0,0.0
8449809ffffffff,82.0,0.0,0.0
844980bffffffff,1.0,0.0,0.0
844980dffffffff,4.0,0.0,0.0
8449821ffffffff,2.0,0.0,0.0
8449843ffffffff,10.0,0.0,0.0
8449845ffffffff,4.0,0.0,0.0
8449855ffffffff,23.0,0.0,0.0
844985bffffffff,1.0,0.0,0.0
8449861ffffffff,12.0,0.0,0.0
8449863ffffffff,7.0,0.0,0.0
8449865ffffffff,13.0,0.0,0.0
8449867ffffffff,1.0,0.0,0.0
8449869ffffffff,59.0,0.0,0.0
844986bffffffff,8.0,0.0,0.0
844986dffffffff,75.0,0.0,0.0
84498c9ffffffff,45.0,0.0,0.0
84498cbffffffff,2.0,0.0,0.0
84498d9ffffffff,2.0,0.0,0.0
84498dbffffffff,3.0,0.0,0.0
844994bffffffff,14.0,0.0,0.0
8449959ffffffff,59.0,0.0,0.0
844995bffffffff,5.0,0.0,0.0
8449a21ffffffff,9.0,0.0,0.0
8449a23ffffffff,7.0,0.0,0.0
8449a27ffffffff,1.0,0.0,0.0
8449a2bffffffff,25.0,0.0,0.0
8449a39ffffffff,2.0,0.0,0.0
8449a3dffffffff,31.0,0.0,0.0
8449a81ffffffff,54.0,0.0,0.0
8449a83ffffffff,78.0,0.0,0.0
8449a85ffffffff,334.0,0.0,0.0
8449a87ffffffff,13.0,0.0,0.0
8449a89ffffffff,83.0,0.0,0.0
8449a8bffffffff,27.0,0.0,0.0
8449a8dffffffff,255.0,0.0,0.0
8449a91ffffffff,728.0,0.0,0.0
8449a93ffffffff,268.0,0.0,0.0
8449a95ffffffff,6.0,0.0,0.0
8449a97ffffffff,199.0,0.0,0.0
8449a99ffffffff,11.0,0.0,0.0
8449a9bffffffff,57.0,0.0,0.0
8449a9dffffffff,1.0,0.0,0.0
8449aa1ffffffff,144.0,0.0,0.0
8449aa3ffffffff,458.0,0.0,0.0
8449aa5ffffffff,15.0,0.0,0.0
8449aa7ffffffff,20.0,0.0,0.0
8449aa9ffffffff,44.0,0.0,0.0
8449aabffffffff,13.0,0.0,0.0
8449aadffffffff,2.0,0.0,0.0
8449ab1ffffffff,118.0,0.0,0.0
8449ab3ffffffff,6.0,0.0,0.0
8449ab5ffffffff,172.0,0.0,0.0
8449ab7ffffffff,3.0,0.0,0.0
8449ab9ffffffff,15.0,0.0,0.0
8449abbffffffff,10.0,0.0,0.0
8449abdffffffff,55.0,0.0,0.0
8449ac7ffffffff,6.0,0.0,0.0
8449ad5ffffffff,34.0,0.0,0.0
8449ad7ffffffff,30.0,0.0,0.0
8449ae3ffffffff,90.0,0.0,0.0
8449aebffffffff,6.0,0.0,0.0
8449b03ffffffff,29.0,0.0,0.0
8449b05ffffffff,2.0,0.0,0.0
8449b0bffffffff,2.0,0.0,0.0
8449b15ffffffff,5.0,0.0,0.0
8449b17ffffffff,1.0,0.0,0.0
8449b1dffffffff,3.0,0.0,0.0
8449b23ffffffff,1.0,0.0,0.0
8449b2bffffffff,15.0,0.0,0.0
8449b31ffffffff,131.0,0.0,0.0
8449b33ffffffff,1061.0,0.0,0.0
8449b35ffffffff,36.0,0.0,0.0
8449b37ffffffff,204.0,0.0,0.0
8449b39ffffffff,4.0,0.0,0.0
8449b3bffffffff,65.0,0.0,0.0
8449b3dffffffff,6.0,0.0,0.0
8449b53ffffffff,1.0,0.0,0.0
8449b55ffffffff,12.0,0.0,0.0
8449b57ffffffff,2.0,0.0,0.0
8449b69ffffffff,2.0,0.0,0.0
8449b6dffffffff,3.0,0.0,0.0
8466b45ffffffff,2.0,0.0,0.0
8466b69ffffffff,2.0,0.0,0.0
8467925ffffffff,1.0,0.0,0.0
846d041ffffffff,25.0,0.0,0.0
846d043ffffffff,115.0,0.0,0.0
846d045ffffffff,20.0,0.0,0.0
846d049ffffffff,89.0,0.0,0.0
846d04bffffffff,112.0,0.0,0.0
846d04dffffffff,38.0,0.0,0.0
846d059ffffffff,6.0,0.0,0.0
846d05dffffffff,23.0,0.0,0.0
846d069ffffffff,242.0,0.0,0.0
846d06dffffffff,20.0,0.0,0.0
846d141ffffffff,2.0,0.0,0.0
846d297ffffffff,4.0,0.0,0.0
846d299ffffffff,40.0,0.0,0.0
846d2a1ffffffff,14.0,0.0,0.0
846d2a3ffffffff,9.0,0.0,0.0
846d2b1ffffffff,8.0,0.0,0.0
846d2b3ffffffff,7.0,0.0,0.0
846d2b5ffffffff,6.0,0.0,0.0
846d2bbffffffff,3.0,0.0,0.0
846d311ffffffff,51.0,0.0,0.0
846d313ffffffff,680.0,0.0,0.0
846d317ffffffff,127.0,0.0,0.0
846d31bffffffff,3.0,0.0,0.0
846d331ffffffff,2.0,0.0,0.0
846d601ffffffff,190.0,0.0,0.0
846d603ffffffff,12.0,0.0,0.0
846d605ffffffff,127.0,0.0,0.0
846d607ffffffff,39.0,0.0,0.0
846d609ffffffff,362.0,0.0,0.0
846d60bffffffff,5.0,0.0,0.0
846d60dffffffff,533.0,0.0,0.0
846d611ffffffff,57.0,0.0,0.0
846d613ffffffff,130.0,0.0,0.0
846d615ffffffff,68.0,0.0,0.0
846d617ffffffff,331.0,0.0,0.0
846d619ffffffff,64.0,0.0,0.0
846d61bffffffff,43.0,0.0,0.0
846d639ffffffff,105.0,0.0,0.0
846d63bffffffff,24.0,0.0,0.0
846d641ffffffff,198.0,0.0,0.0
846d643ffffffff,56.0,0.0,0.0
846d645ffffffff,799.0,0.0,0.0
846d647ffffffff,8.0,0.0,0.0
846d64bffffffff,12.0,0.0,0.0
846d64dffffffff,32.0,0.0,0.0
846d651ffffffff,11.0,0.0,0.0
