cell_id,Athene noctua,Athene noctua [noctua Group],Athene noctua spilogastra/somaliensis,Athene noctua lilith,Athene noctua bactriana
8415909ffffffff,2.0,0.0,0.0,0.0,0.0
8418495ffffffff,3.0,0.0,0.0,0.0,0.0
84185bbffffffff,2.0,0.0,0.0,0.0,0.0
841948dffffffff,2.0,2.0,0.0,0.0,0.0
84194e3ffffffff,1.0,1.0,0.0,0.0,0.0
8419513ffffffff,2.0,2.0,0.0,0.0,0.0
84195bbffffffff,3.0,0.0,0.0,0.0,0.0
84195dbffffffff,2.0,0.0,0.0,0.0,0.0
841972bffffffff,2.0,0.0,0.0,0.0,0.0
841e0e1ffffffff,2.0,2.0,0.0,0.0,0.0
841e0e7ffffffff,2.0,2.0,0.0,0.0,0.0
841e149ffffffff,2.0,0.0,0.0,0.0,0.0
841e529ffffffff,4.0,4.0,0.0,0.0,0.0
841ea09ffffffff,1.0,0.0,0.0,0.0,0.0
841ea0bffffffff,1.0,0.0,0.0,0.0,0.0
841ec03ffffffff,1.0,0.0,0.0,0.0,0.0
841ecc5ffffffff,1.0,0.0,0.0,0.0,0.0
841ece9ffffffff,1.0,0.0,0.0,0.0,0.0
841ede5ffffffff,1.0,1.0,0.0,0.0,0.0
841ee09ffffffff,2.0,2.0,0.0,0.0,0.0
841f319ffffffff,7.0,2.0,0.0,0.0,0.0
841f715ffffffff,16.0,0.0,0.0,0.0,0.0
841fae3ffffffff,8.0,0.0,0.0,0.0,0.0
8420335ffffffff,1.0,0.0,0.0,0.0,0.0
8420e07ffffffff,5.0,5.0,0.0,0.0,0.0
8420e3dffffffff,2.0,2.0,0.0,0.0,0.0
842406bffffffff,2.0,0.0,0.0,0.0,0.0
84240cdffffffff,2.0,0.0,0.0,0.0,0.0
84240e1ffffffff,1.0,0.0,0.0,0.0,0.0
842428dffffffff,1.0,0.0,0.0,0.0,0.0
84244b1ffffffff,8.0,0.0,0.0,0.0,0.0
8424567ffffffff,2.0,0.0,0.0,0.0,0.0
8425135ffffffff,2.0,0.0,0.0,0.0,0.0
84255a5ffffffff,1.0,0.0,0.0,0.0,0.0
8425ac3ffffffff,1.0,1.0,0.0,0.0,0.0
842c009ffffffff,4.0,0.0,0.0,4.0,0.0
842c047ffffffff,3.0,0.0,0.0,3.0,0.0
842c2a1ffffffff,1.0,1.0,0.0,0.0,0.0
842c2a3ffffffff,3.0,3.0,0.0,0.0,0.0
842c51bffffffff,9.0,0.0,0.0,0.0,0.0
842c56dffffffff,2.0,0.0,0.0,0.0,0.0
842c837ffffffff,1.0,0.0,0.0,1.0,0.0
842c93bffffffff,4.0,2.0,0.0,0.0,0.0
842c9d5ffffffff,2.0,0.0,0.0,2.0,0.0
842ce4bffffffff,6.0,0.0,0.0,0.0,0.0
842d03dffffffff,2.0,0.0,0.0,2.0,0.0
842d107ffffffff,4.0,3.0,0.0,1.0,0.0
842d183ffffffff,1.0,0.0,0.0,0.0,0.0
842d32bffffffff,1.0,1.0,0.0,0.0,0.0
842da81ffffffff,2.0,0.0,0.0,2.0,0.0
842da83ffffffff,2.0,1.0,0.0,1.0,0.0
842dab1ffffffff,4.0,0.0,0.0,4.0,0.0
842dab9ffffffff,9.0,0.0,0.0,9.0,0.0
842db63ffffffff,2.0,0.0,0.0,2.0,0.0
842db67ffffffff,2.0,0.0,0.0,2.0,0.0
84302b7ffffffff,4.0,0.0,0.0,0.0,0.0
8430e0bffffffff,4.0,0.0,0.0,0.0,0.0
8430e43ffffffff,1.0,0.0,0.0,0.0,0.0
8431859ffffffff,11.0,0.0,0.0,0.0,0.0
84318c1ffffffff,2.0,0.0,0.0,0.0,0.0
84318c7ffffffff,2.0,0.0,0.0,0.0,0.0
8438435ffffffff,2.0,2.0,0.0,0.0,0.0
8438437ffffffff,1.0,1.0,0.0,0.0,0.0
84385d9ffffffff,2.0,2.0,0.0,0.0,0.0
8438625ffffffff,16.0,0.0,0.0,0.0,0.0
843862bffffffff,1.0,0.0,0.0,0.0,0.0
8438685ffffffff,4.0,2.0,0.0,0.0,0.0
84386a7ffffffff,1.0,1.0,0.0,0.0,0.0
84386a9ffffffff,3.0,3.0,0.0,0.0,0.0
84386e3ffffffff,2.0,2.0,0.0,0.0,0.0
843871bffffffff,1.0,0.0,0.0,0.0,0.0
8438743ffffffff,11.0,11.0,0.0,0.0,0.0
8438753ffffffff,3.0,0.0,0.0,0.0,0.0
8438755ffffffff,2.0,2.0,0.0,0.0,0.0
8439003ffffffff,46.0,19.0,0.0,0.0,0.0
8439005ffffffff,1.0,0.0,0.0,0.0,0.0
8439007ffffffff,2.0,2.0,0.0,0.0,0.0
843900bffffffff,8.0,8.0,0.0,0.0,0.0
8439015ffffffff,4.0,2.0,0.0,0.0,0.0
843901dffffffff,8.0,4.0,0.0,0.0,0.0
8439031ffffffff,4.0,4.0,0.0,0.0,0.0
8439033ffffffff,8.0,4.0,0.0,0.0,0.0
8439039ffffffff,7.0,3.0,0.0,0.0,0.0
843903bffffffff,3.0,1.0,0.0,0.0,0.0
843903dffffffff,1.0,0.0,0.0,0.0,0.0
8439047ffffffff,1.0,0.0,0.0,0.0,0.0
8439057ffffffff,4.0,4.0,0.0,0.0,0.0
8439063ffffffff,2.0,0.0,0.0,0.0,0.0
84390cdffffffff,1.0,1.0,0.0,0.0,0.0
8439101ffffffff,7.0,0.0,0.0,0.0,0.0
8439119ffffffff,2.0,0.0,0.0,0.0,0.0
843911dffffffff,1.0,1.0,0.0,0.0,0.0
8439157ffffffff,1.0,1.0,0.0,0.0,0.0
843915dffffffff,3.0,0.0,0.0,0.0,0.0
