cell_id,Vanga curvirostris,Vanga curvirostris curvirostris,Vanga curvirostris cetera
83a204fffffffff,3.0,0.0,0.0
83a213fffffffff,1.0,0.0,0.0
83a214fffffffff,62.0,3.0,1.0
83a216fffffffff,1.0,0.0,0.0
83a222fffffffff,54.0,3.0,0.0
83a223fffffffff,14.0,4.0,0.0
83a231fffffffff,135.0,11.0,7.0
83a2a3fffffffff,108.0,2.0,0.0
83a2a4fffffffff,29.0,0.0,3.0
83a2a6fffffffff,1.0,0.0,0.0
83a2aefffffffff,21.0,0.0,0.0
83a308fffffffff,17.0,1.0,0.0
83a309fffffffff,14.0,0.0,0.0
83a30efffffffff,2.0,0.0,0.0
83a318fffffffff,1.0,0.0,0.0
83a319fffffffff,127.0,12.0,0.0
83a356fffffffff,23.0,0.0,0.0
83a376fffffffff,18.0,5.0,1.0
83a38bfffffffff,12.0,2.0,0.0
83a38cfffffffff,4.0,0.0,0.0
83a38dfffffffff,24.0,2.0,0.0
83a399fffffffff,139.0,4.0,2.0
83a39dfffffffff,2.0,0.0,0.0
83a3a9fffffffff,7.0,1.0,0.0
83a3abfffffffff,1.0,0.0,0.0
83a3adfffffffff,1.0,0.0,0.0
