cell_id,Anas bahamensis,Anas bahamensis bahamensis/rubrirostris,Anas bahamensis galapagensis
83184afffffffff,2.0,0.0,0.0
83194dfffffffff,2.0,0.0,0.0
83195bfffffffff,1.0,0.0,0.0
83195cfffffffff,1.0,0.0,0.0
83195dfffffffff,1.0,0.0,0.0
831e10fffffffff,3.0,0.0,0.0
831e13fffffffff,2.0,0.0,0.0
831f1afffffffff,1.0,0.0,0.0
831f33fffffffff,1.0,0.0,0.0
831f82fffffffff,2.0,0.0,0.0
831f8afffffffff,4.0,0.0,0.0
831f8dfffffffff,2.0,0.0,0.0
831f8efffffffff,2.0,0.0,0.0
831f91fffffffff,6.0,0.0,0.0
831f9cfffffffff,2.0,0.0,0.0
831fb5fffffffff,3.0,0.0,0.0
8326e2fffffffff,2.0,2.0,0.0
8328d5fffffffff,1.0,0.0,0.0
8329b6fffffffff,3.0,0.0,0.0
832a12fffffffff,9.0,0.0,0.0
832aa9fffffffff,8.0,0.0,0.0
832aaafffffffff,9.0,1.0,0.0
832af1fffffffff,1.0,0.0,0.0
832baafffffffff,2.0,0.0,0.0
83344cfffffffff,2.0,0.0,0.0
833825fffffffff,4.0,0.0,0.0
83390cfffffffff,4.0,0.0,0.0
83390efffffffff,3.0,0.0,0.0
833922fffffffff,4.0,0.0,0.0
833928fffffffff,2.0,0.0,0.0
83392afffffffff,2.0,0.0,0.0
83392cfffffffff,2.0,0.0,0.0
83392dfffffffff,15.0,0.0,0.0
833933fffffffff,4.0,0.0,0.0
833943fffffffff,4.0,0.0,0.0
833944fffffffff,2.0,0.0,0.0
833954fffffffff,40.0,0.0,0.0
833974fffffffff,9.0,0.0,0.0
8343a1fffffffff,29.0,0.0,0.0
8343aefffffffff,4.0,0.0,0.0
834413fffffffff,75.0,2.0,0.0
834436fffffffff,5.0,0.0,0.0
834455fffffffff,10.0,0.0,0.0
834473fffffffff,2.0,0.0,0.0
834484fffffffff,1.0,1.0,0.0
834486fffffffff,11.0,0.0,0.0
8344a1fffffffff,51.0,0.0,0.0
8344a3fffffffff,21.0,2.0,0.0
8344a6fffffffff,4.0,0.0,0.0
8344a8fffffffff,32.0,0.0,0.0
8344abfffffffff,2.0,0.0,0.0
8344acfffffffff,1.0,0.0,0.0
8344aefffffffff,9.0,0.0,0.0
8344b1fffffffff,3.0,0.0,0.0
8344b5fffffffff,12.0,0.0,0.0
8344d9fffffffff,26.0,1.0,0.0
8344f4fffffffff,6.0,0.0,0.0
834588fffffffff,2.0,0.0,0.0
83458afffffffff,1.0,0.0,0.0
834893fffffffff,11.0,1.0,0.0
8348b2fffffffff,3.0,3.0,0.0
8348b3fffffffff,2.0,0.0,0.0
834c83fffffffff,13.0,0.0,0.0
834c88fffffffff,3.0,1.0,0.0
834c9afffffffff,3.0,0.0,0.0
834cabfffffffff,4.0,0.0,0.0
834cc0fffffffff,133.0,0.0,0.0
834cc5fffffffff,230.0,0.0,0.0
834cc6fffffffff,46.0,22.0,0.0
834cd0fffffffff,15.0,0.0,0.0
834cd2fffffffff,2.0,0.0,0.0
834cd4fffffffff,4.0,0.0,0.0
834cd5fffffffff,1.0,1.0,0.0
834ce8fffffffff,113.0,1.0,0.0
834ceafffffffff,26.0,0.0,0.0
834ceefffffffff,2.0,0.0,0.0
834cf2fffffffff,8.0,0.0,0.0
834d49fffffffff,2.0,0.0,0.0
834d4bfffffffff,7.0,4.0,0.0
835e4bfffffffff,7.0,7.0,0.0
835e5cfffffffff,2.0,0.0,0.0
835e5dfffffffff,2.0,1.0,0.0
835f4bfffffffff,2.0,0.0,0.0
835f58fffffffff,2.0,0.0,0.0
835f5bfffffffff,42.0,1.0,0.0
83658bfffffffff,1.0,0.0,0.0
836622fffffffff,3.0,3.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a5fffffffff,14.0,0.0,0.0
8366b5fffffffff,49.0,0.0,0.0
8366c6fffffffff,17.0,0.0,0.0
8366d0fffffffff,12.0,0.0,0.0
8366d3fffffffff,245.0,0.0,0.0
8366defffffffff,10.0,0.0,0.0
8366e4fffffffff,2.0,0.0,0.0
836744fffffffff,12.0,0.0,0.0
836746fffffffff,15.0,0.0,0.0
836752fffffffff,22.0,0.0,0.0
836759fffffffff,1.0,0.0,0.0
83676bfffffffff,2.0,0.0,0.0
836c5bfffffffff,13.0,0.0,10.0
836d69fffffffff,48.0,2.0,0.0
838054fffffffff,17.0,0.0,0.0
838073fffffffff,4.0,0.0,0.0
838133fffffffff,2.0,2.0,0.0
838b22fffffffff,2.0,2.0,0.0
838b26fffffffff,2.0,0.0,0.0
838b61fffffffff,20.0,0.0,0.0
838e45fffffffff,2.0,2.0,0.0
838e62fffffffff,4.0,3.0,0.0
838e75fffffffff,13.0,0.0,0.0
838f0bfffffffff,6.0,0.0,0.0
838f29fffffffff,3.0,0.0,0.0
838f2dfffffffff,2.0,0.0,0.0
838f50fffffffff,12.0,0.0,0.0
838f55fffffffff,1.0,1.0,0.0
838f5efffffffff,12.0,0.0,0.0
838f71fffffffff,3.0,0.0,0.0
838f74fffffffff,3.0,0.0,0.0
838f76fffffffff,59.0,12.0,0.0
838fa6fffffffff,1.0,0.0,1.0
83a810fffffffff,1.0,0.0,0.0
83a835fffffffff,20.0,2.0,0.0
83a865fffffffff,4.0,0.0,0.0
83a886fffffffff,1.0,0.0,0.0
83a891fffffffff,1.0,0.0,0.0
83a8a0fffffffff,20.0,0.0,0.0
83a8c2fffffffff,2.0,0.0,0.0
83a8d1fffffffff,12.0,1.0,0.0
83a918fffffffff,7.0,0.0,0.0
83a91bfffffffff,7.0,0.0,0.0
83a94efffffffff,4.0,0.0,0.0
83a960fffffffff,3.0,0.0,0.0
83a96afffffffff,28.0,0.0,0.0
83b200fffffffff,36.0,0.0,0.0
83b203fffffffff,13.0,0.0,0.0
83b20bfffffffff,2.0,0.0,0.0
83b219fffffffff,1.0,0.0,0.0
83b21bfffffffff,1.0,0.0,0.0
83b21dfffffffff,4.0,0.0,0.0
83b226fffffffff,5.0,0.0,0.0
83b241fffffffff,11.0,0.0,0.0
83b243fffffffff,1.0,0.0,0.0
83b245fffffffff,2.0,0.0,0.0
83b248fffffffff,7.0,0.0,0.0
83b249fffffffff,17.0,0.0,0.0
83b24afffffffff,4.0,0.0,0.0
83b24bfffffffff,3.0,0.0,0.0
83b24cfffffffff,2.0,0.0,0.0
83b24dfffffffff,102.0,0.0,0.0
83b255fffffffff,2.0,0.0,0.0
