cell_id,Taeniopygia guttata,Taeniopygia guttata guttata,Taeniopygia guttata castanotis
821e0ffffffffff,2.0,0.0,0.0
82268ffffffffff,2.0,0.0,0.0
822837fffffffff,2.0,0.0,0.0
8229a7fffffffff,34.0,0.0,0.0
8229affffffffff,2.0,0.0,0.0
823827fffffffff,1.0,0.0,0.0
823917fffffffff,5.0,0.0,0.0
823937fffffffff,1.0,0.0,0.0
823947fffffffff,1.0,0.0,0.0
824417fffffffff,2.0,0.0,0.0
82441ffffffffff,7.0,0.0,0.0
82450ffffffffff,3.0,0.0,0.0
824ba7fffffffff,1.0,0.0,0.0
826527fffffffff,2.0,0.0,0.0
829457fffffffff,7.0,0.0,3.0
829487fffffffff,2.0,0.0,2.0
82a737fffffffff,2.0,0.0,2.0
82b9b7fffffffff,4.0,0.0,2.0
82be0ffffffffff,2.0,0.0,0.0
82be4ffffffffff,4.0,0.0,0.0
82be57fffffffff,2.0,0.0,0.0
82be67fffffffff,39.0,0.0,30.0
82be6ffffffffff,2.0,0.0,0.0
82be77fffffffff,22.0,0.0,2.0
82be8ffffffffff,3.0,0.0,1.0
82becffffffffff,1.0,0.0,0.0
82bef7fffffffff,2.0,0.0,0.0
