cell_id,Chrysococcyx cupreus,Chrysococcyx cupreus cupreus,Chrysococcyx cupreus intermedius,Chrysococcyx cupreus insularum
8454f47ffffffff,2.0,0.0,0.0,0.0
846a5abffffffff,5.0,0.0,0.0,0.0
846ac93ffffffff,4.0,0.0,0.0,0.0
847a413ffffffff,3.0,0.0,0.0,0.0
847a453ffffffff,2.0,0.0,0.0,0.0
847a481ffffffff,2.0,0.0,0.0,0.0
847a4c5ffffffff,2.0,0.0,0.0,0.0
847a4cdffffffff,3.0,0.0,0.0,0.0
847a4dbffffffff,1.0,0.0,0.0,0.0
847a4ddffffffff,4.0,2.0,0.0,0.0
847a4e3ffffffff,3.0,3.0,0.0,0.0
847a609ffffffff,9.0,0.0,0.0,0.0
847a613ffffffff,1.0,0.0,0.0,0.0
847a63dffffffff,2.0,0.0,0.0,0.0
847a657ffffffff,11.0,0.0,0.0,0.0
847a6b5ffffffff,2.0,0.0,0.0,0.0
847accdffffffff,4.0,0.0,0.0,0.0
8482e33ffffffff,1.0,0.0,0.0,1.0
8482e37ffffffff,4.0,0.0,0.0,0.0
8496009ffffffff,2.0,2.0,0.0,0.0
8496335ffffffff,1.0,0.0,0.0,0.0
84972d9ffffffff,11.0,2.0,0.0,0.0
84974abffffffff,4.0,0.0,0.0,0.0
8497513ffffffff,5.0,0.0,0.0,0.0
