cell_id,Otus senegalensis,Otus senegalensis senegalensis,Otus senegalensis feae,Otus senegalensis nivosus
8254c7fffffffff,1.0,0.0,0.0,0.0
8254effffffffff,2.0,0.0,0.0,0.0
826adffffffffff,2.0,0.0,0.0,0.0
826aeffffffffff,2.0,0.0,0.0,0.0
827a6ffffffffff,2.0,1.0,0.0,0.0
827b5ffffffffff,3.0,0.0,0.0,0.0
829697fffffffff,3.0,3.0,0.0,0.0
82972ffffffffff,2.0,2.0,0.0,0.0
82975ffffffffff,3.0,0.0,0.0,0.0
82ad97fffffffff,1.0,0.0,0.0,0.0
82bcd7fffffffff,10.0,5.0,0.0,0.0
82bcdffffffffff,5.0,0.0,0.0,0.0
82bcf7fffffffff,2.0,2.0,0.0,0.0
