cell_id,Phyllastrephus cabanisi,Phyllastrephus cabanisi placidus,Phyllastrephus cabanisi [cabanisi Group]
846ac93ffffffff,8.0,0.0,0.0
847a4c5ffffffff,2.0,2.0,0.0
847a4cbffffffff,1.0,0.0,0.0
847a4d1ffffffff,3.0,0.0,0.0
847a4ddffffffff,3.0,0.0,2.0
847a5d5ffffffff,2.0,2.0,0.0
847a643ffffffff,3.0,2.0,0.0
847a657ffffffff,43.0,35.0,0.0
