cell_id,Cardinalis cardinalis,Cardinalis cardinalis [cardinalis Group],Cardinalis cardinalis carneus
830e49fffffffff,3.0,0.0,0.0
830e4dfffffffff,2.0,0.0,0.0
830ec9fffffffff,3.0,0.0,0.0
830eccfffffffff,4.0,0.0,0.0
831253fffffffff,13.0,0.0,0.0
83125dfffffffff,4.0,0.0,0.0
83125efffffffff,1.0,0.0,0.0
8312ddfffffffff,51.0,0.0,0.0
8312ecfffffffff,33.0,0.0,0.0
831aa0fffffffff,2.0,0.0,0.0
831aa2fffffffff,3.0,0.0,0.0
831aa4fffffffff,1.0,0.0,0.0
831aa6fffffffff,2.0,0.0,0.0
831b9afffffffff,8.0,0.0,0.0
832603fffffffff,2.0,2.0,0.0
832605fffffffff,1.0,0.0,0.0
832608fffffffff,2.0,2.0,0.0
832609fffffffff,1.0,0.0,0.0
83260afffffffff,25.0,24.0,0.0
83260bfffffffff,5.0,4.0,0.0
83260efffffffff,2.0,1.0,0.0
832616fffffffff,14.0,0.0,0.0
832618fffffffff,1.0,1.0,0.0
832619fffffffff,32.0,32.0,0.0
83261afffffffff,2.0,2.0,0.0
83261bfffffffff,4.0,4.0,0.0
83261dfffffffff,6.0,6.0,0.0
832626fffffffff,12.0,0.0,0.0
832628fffffffff,3.0,3.0,0.0
832629fffffffff,2.0,0.0,0.0
83262cfffffffff,4.0,0.0,0.0
832636fffffffff,4.0,0.0,0.0
832640fffffffff,21.0,0.0,0.0
832641fffffffff,2.0,0.0,0.0
832642fffffffff,3.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0
832644fffffffff,4.0,0.0,0.0
832646fffffffff,35.0,1.0,0.0
832648fffffffff,25.0,19.0,0.0
832649fffffffff,13.0,3.0,0.0
83264afffffffff,16.0,7.0,0.0
83264bfffffffff,6.0,3.0,0.0
83264cfffffffff,37.0,32.0,0.0
83264dfffffffff,19.0,15.0,0.0
83264efffffffff,27.0,15.0,0.0
832651fffffffff,4.0,0.0,0.0
832652fffffffff,1.0,0.0,0.0
832653fffffffff,4.0,0.0,0.0
832654fffffffff,1.0,0.0,0.0
832655fffffffff,13.0,0.0,0.0
832656fffffffff,24.0,2.0,0.0
832658fffffffff,2.0,0.0,0.0
832659fffffffff,14.0,4.0,0.0
83265afffffffff,2.0,0.0,0.0
83265dfffffffff,6.0,5.0,0.0
832664fffffffff,37.0,2.0,0.0
832666fffffffff,1.0,0.0,0.0
832669fffffffff,10.0,0.0,0.0
83266afffffffff,1.0,0.0,0.0
83266bfffffffff,1.0,0.0,0.0
83266efffffffff,1.0,0.0,0.0
832671fffffffff,2.0,0.0,0.0
832672fffffffff,3.0,3.0,0.0
832675fffffffff,1.0,0.0,0.0
832676fffffffff,2.0,0.0,0.0
832681fffffffff,29.0,0.0,0.0
832685fffffffff,3.0,0.0,0.0
832688fffffffff,2.0,0.0,0.0
832689fffffffff,25.0,0.0,0.0
83268cfffffffff,21.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0
832699fffffffff,6.0,0.0,0.0
8326a1fffffffff,14.0,0.0,0.0
8326a8fffffffff,8.0,0.0,0.0
8326a9fffffffff,2.0,0.0,0.0
8326aafffffffff,75.0,1.0,0.0
8326c4fffffffff,2.0,0.0,0.0
8326c5fffffffff,2.0,0.0,0.0
8326c9fffffffff,1.0,0.0,0.0
8326ccfffffffff,1.0,0.0,0.0
8326d1fffffffff,2.0,0.0,0.0
8326d2fffffffff,4.0,0.0,0.0
8326d3fffffffff,2.0,0.0,0.0
8326d4fffffffff,7.0,0.0,0.0
