cell_id,Anas andium,Anas andium altipetens,Anas andium andium
8466083ffffffff,6.0,0.0,0.0
8466089ffffffff,7.0,0.0,0.0
846608bffffffff,3.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0
8466095ffffffff,10.0,0.0,0.0
846609dffffffff,8.0,3.0,0.0
84660b1ffffffff,9.0,0.0,0.0
84660b3ffffffff,2.0,0.0,0.0
84660b5ffffffff,19.0,0.0,0.0
84660b7ffffffff,7.0,0.0,0.0
84660b9ffffffff,40.0,0.0,0.0
84660bbffffffff,393.0,0.0,0.0
84660bdffffffff,11.0,0.0,0.0
84660c3ffffffff,34.0,1.0,0.0
84660cbffffffff,10.0,0.0,0.0
84660d5ffffffff,67.0,5.0,0.0
8466291ffffffff,2.0,0.0,0.0
8466299ffffffff,118.0,10.0,0.0
84662b5ffffffff,11.0,0.0,0.0
84662d3ffffffff,2.0,0.0,0.0
8466c25ffffffff,8.0,0.0,0.0
8466c2dffffffff,4.0,0.0,0.0
8466c61ffffffff,23.0,0.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466c69ffffffff,96.0,0.0,0.0
8466c6bffffffff,1.0,0.0,0.0
8466d15ffffffff,11.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d33ffffffff,967.0,0.0,166.0
8466d3bffffffff,32.0,0.0,0.0
8466d53ffffffff,6.0,0.0,0.0
8466da5ffffffff,4.0,0.0,0.0
8466de5ffffffff,1623.0,0.0,303.0
8466dedffffffff,304.0,0.0,45.0
8466e01ffffffff,30.0,0.0,0.0
8466e07ffffffff,21.0,0.0,0.0
8466e09ffffffff,825.0,43.0,0.0
8466e2dffffffff,5.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0
8466e43ffffffff,733.0,43.0,0.0
8466e4bffffffff,14.0,0.0,0.0
8466e55ffffffff,94.0,1.0,0.0
8466e5dffffffff,1.0,0.0,0.0
8466e61ffffffff,179.0,0.0,9.0
8466e65ffffffff,30.0,0.0,4.0
8466e67ffffffff,7.0,0.0,0.0
8466e69ffffffff,4.0,0.0,0.0
8466e6dffffffff,1137.0,0.0,94.0
8466f19ffffffff,45.0,0.0,0.0
8466f53ffffffff,18.0,0.0,0.0
84675a5ffffffff,2.0,0.0,0.0
848f291ffffffff,2.0,0.0,0.0
848f297ffffffff,19.0,0.0,1.0
848f299ffffffff,72.0,0.0,15.0
848f29bffffffff,5.0,0.0,0.0
848f2d1ffffffff,3.0,0.0,0.0
848f2d3ffffffff,1.0,0.0,0.0
848f2d7ffffffff,1.0,0.0,0.0
848f2d9ffffffff,162.0,0.0,15.0
848f2dbffffffff,11.0,0.0,0.0
848f761ffffffff,3.0,0.0,0.0
848f765ffffffff,2.0,0.0,0.0
848f767ffffffff,5.0,0.0,3.0
848f769ffffffff,40.0,0.0,5.0
848f76dffffffff,754.0,0.0,89.0
