cell_id,Niltava grandis,Niltava grandis [grandis Group],Niltava grandis decorata
843c067ffffffff,2.0,0.0,0.0
843c0a5ffffffff,2.0,0.0,0.0
843c317ffffffff,2.0,0.0,0.0
843c537ffffffff,1.0,0.0,0.0
843c581ffffffff,3.0,0.0,0.0
843cc45ffffffff,1.0,0.0,0.0
843ce15ffffffff,4.0,0.0,0.0
843ce4dffffffff,25.0,0.0,0.0
843ce55ffffffff,2.0,0.0,0.0
843dad1ffffffff,2.0,0.0,0.0
84404c5ffffffff,8.0,8.0,0.0
846434bffffffff,2.0,0.0,0.0
8464b57ffffffff,1.0,0.0,0.0
846500bffffffff,161.0,0.0,0.0
8465033ffffffff,3.0,0.0,0.0
8465039ffffffff,26.0,0.0,0.0
8465055ffffffff,33.0,0.0,0.0
84651c1ffffffff,7.0,0.0,0.0
84658e7ffffffff,2.0,0.0,0.0
848cd0bffffffff,1.0,0.0,0.0
