cell_id,Rhabdotorrhinus exarhatus,Rhabdotorrhinus exarhatus exarhatus,Rhabdotorrhinus exarhatus sanfordi
8468c21ffffffff,3.0,0.0,0.0
8468c23ffffffff,2.0,0.0,0.0
8468c3dffffffff,3.0,0.0,0.0
8468c89ffffffff,1.0,0.0,0.0
8468c8bffffffff,139.0,51.0,0.0
8468ca9ffffffff,3.0,0.0,0.0
8468cadffffffff,1.0,1.0,0.0
8468ce7ffffffff,52.0,33.0,0.0
8468d29ffffffff,4.0,0.0,0.0
8468dd9ffffffff,2.0,0.0,0.0
8468ddbffffffff,28.0,5.0,0.0
849500bffffffff,38.0,8.0,10.0
8495055ffffffff,11.0,8.0,2.0
84950d1ffffffff,8.0,0.0,0.0
84950dbffffffff,1.0,0.0,0.0
8495217ffffffff,1.0,0.0,0.0
84952e1ffffffff,1.0,0.0,0.0
8495767ffffffff,1.0,0.0,0.0
