cell_id,Diomedea antipodensis,Diomedea antipodensis antipodensis,Diomedea antipodensis gibsoni
8228e7fffffffff,1.0,0.0,0.0
82b2c7fffffffff,17.0,15.0,0.0
82b2dffffffffff,13.0,13.0,0.0
82ba27fffffffff,18.0,0.0,18.0
82ba2ffffffffff,1.0,1.0,0.0
82ba67fffffffff,3.0,0.0,3.0
82bb0ffffffffff,8.0,0.0,8.0
82bb1ffffffffff,1.0,1.0,0.0
82bb2ffffffffff,27.0,9.0,18.0
82bb57fffffffff,38.0,23.0,15.0
82bb5ffffffffff,7.0,6.0,1.0
82bb67fffffffff,2.0,2.0,0.0
82be0ffffffffff,11.0,5.0,5.0
82be1ffffffffff,7.0,0.0,7.0
82be2ffffffffff,7.0,2.0,5.0
82be6ffffffffff,14.0,3.0,11.0
82beaffffffffff,25.0,8.0,17.0
82bf4ffffffffff,1.0,0.0,1.0
82bf5ffffffffff,4.0,0.0,4.0
82bf6ffffffffff,11.0,2.0,9.0
82c987fffffffff,3.0,1.0,2.0
82c9b7fffffffff,2.0,0.0,2.0
82ce17fffffffff,75.0,75.0,0.0
82ce37fffffffff,120.0,120.0,0.0
82ce8ffffffffff,24.0,24.0,0.0
82ceaffffffffff,2.0,1.0,0.0
82cf1ffffffffff,9.0,8.0,0.0
82d46ffffffffff,4.0,0.0,4.0
82da07fffffffff,7.0,0.0,7.0
82da1ffffffffff,34.0,7.0,27.0
82da57fffffffff,1.0,0.0,1.0
82da87fffffffff,46.0,9.0,34.0
82da8ffffffffff,3.0,0.0,3.0
82da97fffffffff,7.0,0.0,5.0
82daa7fffffffff,5.0,1.0,4.0
82daaffffffffff,11.0,0.0,11.0
82dab7fffffffff,14.0,3.0,11.0
82db87fffffffff,2.0,0.0,2.0
82db8ffffffffff,6.0,4.0,2.0
82df2ffffffffff,3.0,3.0,0.0
82df77fffffffff,2.0,2.0,0.0
