cell_id,Neomixis striatigula,Neomixis striatigula striatigula/sclateri,Neomixis striatigula pallidior
84a2143ffffffff,242.0,21.0,0.0
84a2147ffffffff,13.0,0.0,0.0
84a216bffffffff,1.0,0.0,0.0
84a2227ffffffff,196.0,17.0,0.0
84a2235ffffffff,2.0,0.0,0.0
84a2319ffffffff,1.0,0.0,0.0
84a231bffffffff,326.0,35.0,0.0
84a233dffffffff,1.0,0.0,0.0
84a2353ffffffff,22.0,3.0,0.0
84a2357ffffffff,1.0,0.0,0.0
84a2a31ffffffff,1.0,0.0,1.0
84a2a3bffffffff,2.0,0.0,2.0
84a2a45ffffffff,1.0,0.0,0.0
84a2a47ffffffff,1.0,0.0,0.0
84a2a49ffffffff,55.0,0.0,8.0
84a2a69ffffffff,9.0,0.0,1.0
84a2ae9ffffffff,13.0,0.0,0.0
84a2aedffffffff,73.0,2.0,9.0
84a308bffffffff,40.0,4.0,0.0
84a3093ffffffff,4.0,0.0,0.0
84a319dffffffff,1.0,0.0,0.0
84a3567ffffffff,8.0,0.0,0.0
84a38a5ffffffff,1.0,0.0,1.0
84a38b3ffffffff,9.0,0.0,0.0
84a38b7ffffffff,10.0,0.0,5.0
84a38cbffffffff,1.0,0.0,0.0
84a38ddffffffff,4.0,0.0,1.0
84a3993ffffffff,130.0,1.0,33.0
84a3997ffffffff,4.0,0.0,0.0
84a399bffffffff,293.0,3.0,49.0
84a39d3ffffffff,2.0,0.0,1.0
84a39dbffffffff,16.0,0.0,0.0
84a3ab7ffffffff,6.0,0.0,0.0
84a3abbffffffff,2.0,0.0,0.0
