cell_id,Actinodura ramsayi,Actinodura ramsayi radcliffei/yunnanensis,Actinodura ramsayi ramsayi
82402ffffffffff,3.0,0.0,0.0
82414ffffffffff,76.0,0.0,0.0
82415ffffffffff,31.0,0.0,0.0
826487fffffffff,406.0,0.0,23.0
826497fffffffff,794.0,0.0,50.0
82649ffffffffff,89.0,10.0,0.0
