cell_id,Embernagra platensis,Embernagra platensis olivascens,Embernagra platensis platensis
848124dffffffff,2.0,0.0,0.0
8481343ffffffff,4.0,0.0,0.0
848b01bffffffff,2.0,0.0,0.0
848b0c1ffffffff,13.0,0.0,0.0
848b0c3ffffffff,6.0,0.0,0.0
848b0c7ffffffff,5.0,0.0,0.0
848b0cdffffffff,13.0,0.0,0.0
848b0d5ffffffff,3.0,0.0,0.0
848b203ffffffff,69.0,0.0,0.0
848b20bffffffff,14.0,0.0,0.0
848b20dffffffff,4.0,0.0,0.0
848b211ffffffff,29.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0
848b21dffffffff,9.0,0.0,0.0
848b221ffffffff,1.0,0.0,0.0
848b22dffffffff,2.0,0.0,0.0
848b247ffffffff,2.0,0.0,0.0
848b24bffffffff,5.0,0.0,0.0
848b259ffffffff,15.0,0.0,0.0
848b25dffffffff,10.0,0.0,0.0
848b2a5ffffffff,32.0,0.0,0.0
848b2a7ffffffff,23.0,0.0,0.0
848b2b5ffffffff,3.0,0.0,0.0
848b2c9ffffffff,45.0,0.0,0.0
848b2cdffffffff,19.0,0.0,0.0
848b561ffffffff,1.0,0.0,0.0
848b567ffffffff,1.0,0.0,0.0
848b761ffffffff,2.0,0.0,0.0
84a8001ffffffff,8.0,0.0,0.0
84a8005ffffffff,2.0,0.0,2.0
84a8009ffffffff,5.0,0.0,0.0
84a800dffffffff,2.0,0.0,0.0
84a8013ffffffff,1.0,0.0,0.0
84a8019ffffffff,13.0,0.0,0.0
84a801bffffffff,2.0,0.0,0.0
84a8041ffffffff,1.0,0.0,0.0
84a8043ffffffff,11.0,0.0,0.0
84a8049ffffffff,29.0,0.0,0.0
84a804bffffffff,11.0,0.0,0.0
84a804dffffffff,33.0,0.0,3.0
84a8055ffffffff,7.0,0.0,0.0
84a805dffffffff,11.0,0.0,0.0
84a8063ffffffff,8.0,0.0,0.0
84a8101ffffffff,1.0,0.0,0.0
84a8105ffffffff,8.0,0.0,0.0
84a8115ffffffff,5.0,0.0,3.0
84a8127ffffffff,105.0,0.0,6.0
84a8131ffffffff,16.0,0.0,0.0
84a8137ffffffff,4.0,0.0,0.0
84a8139ffffffff,13.0,0.0,2.0
84a81e9ffffffff,6.0,0.0,0.0
84a81ebffffffff,2.0,0.0,0.0
84a81edffffffff,6.0,0.0,0.0
84a8211ffffffff,4.0,0.0,0.0
84a8213ffffffff,1.0,0.0,0.0
84a8219ffffffff,4.0,0.0,0.0
84a821bffffffff,1.0,0.0,0.0
84a8225ffffffff,2.0,0.0,0.0
84a8235ffffffff,4.0,0.0,0.0
84a8237ffffffff,2.0,0.0,0.0
84a823bffffffff,1.0,0.0,0.0
84a8241ffffffff,11.0,0.0,0.0
84a8245ffffffff,37.0,0.0,0.0
84a824bffffffff,1.0,0.0,0.0
84a8255ffffffff,8.0,0.0,1.0
84a8257ffffffff,36.0,0.0,3.0
84a825bffffffff,1.0,0.0,0.0
84a8267ffffffff,2.0,0.0,0.0
84a82abffffffff,2.0,0.0,0.0
84a82c9ffffffff,4.0,0.0,0.0
84a82ddffffffff,1.0,0.0,0.0
84a82e1ffffffff,1.0,0.0,0.0
84a82e7ffffffff,4.0,0.0,0.0
84a82edffffffff,2.0,0.0,0.0
84a8311ffffffff,7.0,0.0,1.0
84a8313ffffffff,24.0,0.0,0.0
84a831bffffffff,52.0,0.0,0.0
84a8353ffffffff,3.0,0.0,0.0
84a835bffffffff,2.0,0.0,0.0
84a8605ffffffff,1.0,0.0,1.0
84a860dffffffff,3.0,0.0,0.0
84a862dffffffff,1.0,0.0,0.0
84a8645ffffffff,1.0,0.0,0.0
84a864bffffffff,1.0,0.0,0.0
84a865bffffffff,1.0,0.0,0.0
84a8805ffffffff,32.0,0.0,2.0
84a8807ffffffff,6.0,0.0,0.0
84a8811ffffffff,2.0,0.0,2.0
84a8817ffffffff,1.0,0.0,0.0
84a881bffffffff,3.0,0.0,0.0
