cell_id,Vireo cassinii,Vireo cassinii cassinii,Vireo cassinii lucasanus
82128ffffffffff,2.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0
8212b7fffffffff,10.0,0.0,0.0
8212c7fffffffff,21.0,0.0,0.0
8212cffffffffff,12.0,0.0,0.0
8212d7fffffffff,19.0,0.0,0.0
8212dffffffffff,11.0,0.0,0.0
8212f7fffffffff,2.0,2.0,0.0
821397fffffffff,2.0,0.0,0.0
82139ffffffffff,9.0,0.0,0.0
822617fffffffff,3.0,0.0,0.0
822687fffffffff,84.0,0.0,0.0
82268ffffffffff,131.0,0.0,0.0
822697fffffffff,56.0,1.0,0.0
82269ffffffffff,90.0,0.0,0.0
8226a7fffffffff,5.0,0.0,0.0
8226affffffffff,99.0,0.0,0.0
8226b7fffffffff,21.0,0.0,0.0
8226d7fffffffff,51.0,0.0,0.0
8226dffffffffff,7.0,0.0,0.0
8226f7fffffffff,52.0,0.0,0.0
822787fffffffff,2.0,0.0,0.0
822797fffffffff,40.0,0.0,0.0
82279ffffffffff,3.0,0.0,0.0
822807fffffffff,57.0,0.0,0.0
822817fffffffff,79.0,7.0,0.0
82281ffffffffff,39.0,0.0,0.0
822837fffffffff,457.0,6.0,0.0
822887fffffffff,195.0,0.0,0.0
82288ffffffffff,34.0,3.0,0.0
822897fffffffff,6.0,0.0,0.0
82289ffffffffff,27.0,2.0,0.0
8228a7fffffffff,15.0,0.0,0.0
8228affffffffff,36.0,0.0,0.0
8228b7fffffffff,19.0,5.0,0.0
8228d7fffffffff,51.0,3.0,0.0
8228dffffffffff,41.0,0.0,0.0
8228f7fffffffff,47.0,2.0,0.0
822917fffffffff,6.0,0.0,0.0
82291ffffffffff,8.0,0.0,0.0
822987fffffffff,31.0,0.0,0.0
82298ffffffffff,227.0,3.0,0.0
822997fffffffff,10.0,0.0,0.0
82299ffffffffff,13.0,0.0,0.0
8229a7fffffffff,493.0,6.0,0.0
8229affffffffff,38.0,0.0,0.0
8229b7fffffffff,143.0,3.0,0.0
822b1ffffffffff,4.0,0.0,0.0
82446ffffffffff,20.0,0.0,0.0
82480ffffffffff,3.0,0.0,0.0
824827fffffffff,6.0,0.0,6.0
82482ffffffffff,7.0,1.0,6.0
824837fffffffff,3.0,0.0,0.0
824847fffffffff,8.0,0.0,0.0
82485ffffffffff,27.0,0.0,0.0
824887fffffffff,11.0,1.0,0.0
82488ffffffffff,6.0,0.0,0.0
824897fffffffff,10.0,0.0,0.0
82489ffffffffff,16.0,0.0,0.0
8248affffffffff,13.0,0.0,0.0
8248b7fffffffff,17.0,1.0,0.0
8248c7fffffffff,44.0,0.0,0.0
8248cffffffffff,31.0,0.0,0.0
8248d7fffffffff,43.0,0.0,0.0
8248dffffffffff,49.0,0.0,0.0
8248e7fffffffff,4.0,0.0,0.0
8248effffffffff,440.0,4.0,0.0
8248f7fffffffff,24.0,0.0,0.0
824987fffffffff,11.0,0.0,0.0
824997fffffffff,23.0,0.0,0.0
8249affffffffff,1.0,1.0,0.0
8249b7fffffffff,2.0,0.0,0.0
826d07fffffffff,1.0,0.0,0.0
826d17fffffffff,8.0,0.0,0.0
826d37fffffffff,16.0,0.0,0.0
