cell_id,Leptasthenura striata,Leptasthenura striata striata/superciliaris,Leptasthenura striata albigularis
838b64fffffffff,2.0,0.0,0.0
838e45fffffffff,7.0,0.0,0.0
838e60fffffffff,14.0,0.0,0.0
838e61fffffffff,3.0,0.0,0.0
838e62fffffffff,27.0,0.0,0.0
838e64fffffffff,3.0,0.0,0.0
838e66fffffffff,104.0,0.0,0.0
838e68fffffffff,2.0,0.0,0.0
838e69fffffffff,1.0,0.0,0.0
838e6afffffffff,8.0,0.0,0.0
838e6cfffffffff,8.0,0.0,0.0
838e75fffffffff,16.0,0.0,0.0
838f58fffffffff,12.0,0.0,0.0
838f59fffffffff,2.0,0.0,0.0
838f5bfffffffff,4.0,0.0,0.0
838f5cfffffffff,1.0,0.0,0.0
83b300fffffffff,2.0,0.0,0.0
83b301fffffffff,48.0,0.0,0.0
83b304fffffffff,175.0,0.0,0.0
83b305fffffffff,603.0,0.0,0.0
83b30cfffffffff,2.0,0.0,0.0
83b30efffffffff,24.0,0.0,0.0
83b322fffffffff,3.0,0.0,0.0
83b323fffffffff,8.0,0.0,0.0
83b330fffffffff,22.0,0.0,0.0
83b331fffffffff,5.0,0.0,0.0
83b334fffffffff,39.0,0.0,0.0
83b335fffffffff,101.0,0.0,0.0
