cell_id,Sittasomus griseicapillus,Sittasomus griseicapillus [griseus Group],Sittasomus griseicapillus aequatorialis,Sittasomus griseicapillus [griseicapillus Group],Sittasomus griseicapillus reiseri,Sittasomus griseicapillus sylviellus/olivaceus
8444249ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
844501bffffffff,1.0,1.0,0.0,0.0,0.0,0.0
8445053ffffffff,9.0,1.0,0.0,0.0,0.0,0.0
844505bffffffff,4.0,2.0,0.0,0.0,0.0,0.0
8445081ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8445083ffffffff,213.0,0.0,0.0,0.0,0.0,0.0
8445085ffffffff,238.0,14.0,0.0,0.0,0.0,0.0
8445087ffffffff,462.0,0.0,0.0,0.0,0.0,0.0
8445089ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
844508bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
844508dffffffff,81.0,6.0,0.0,0.0,0.0,0.0
8445095ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8445099ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84450a1ffffffff,120.0,4.0,0.0,0.0,0.0,0.0
84450a3ffffffff,94.0,0.0,0.0,0.0,0.0,0.0
84450a5ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84450a7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84450a9ffffffff,19.0,2.0,0.0,0.0,0.0,0.0
84450abffffffff,35.0,0.0,0.0,0.0,0.0,0.0
84450b1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84450b5ffffffff,26.0,0.0,0.0,0.0,0.0,0.0
84450b9ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84450bdffffffff,27.0,0.0,0.0,0.0,0.0,0.0
84450c1ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84450c5ffffffff,53.0,10.0,0.0,0.0,0.0,0.0
84450c7ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
