cell_id,Campylopterus largipennis,Campylopterus largipennis largipennis,Campylopterus largipennis obscurus
825f07fffffffff,167.0,0.0,0.0
825f0ffffffffff,9.0,0.0,0.0
825f17fffffffff,108.0,0.0,0.0
825f1ffffffffff,11.0,0.0,0.0
825f2ffffffffff,320.0,0.0,0.0
825f47fffffffff,35.0,0.0,0.0
825f57fffffffff,6.0,0.0,0.0
825f6ffffffffff,4.0,0.0,0.0
825f77fffffffff,80.0,0.0,0.0
82660ffffffffff,8.0,0.0,0.0
826647fffffffff,34.0,0.0,2.0
82664ffffffffff,7.0,0.0,0.0
826657fffffffff,6.0,0.0,0.0
82665ffffffffff,235.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0
82666ffffffffff,3.0,0.0,0.0
8266c7fffffffff,100.0,0.0,0.0
8266cffffffffff,11.0,0.0,0.0
8266d7fffffffff,368.0,0.0,0.0
8266dffffffffff,451.0,0.0,8.0
8266e7fffffffff,34.0,0.0,0.0
8266effffffffff,50.0,0.0,0.0
828047fffffffff,212.0,0.0,81.0
82804ffffffffff,24.0,0.0,0.0
828057fffffffff,3.0,0.0,0.0
828067fffffffff,16.0,0.0,5.0
82806ffffffffff,2.0,0.0,0.0
828077fffffffff,11.0,0.0,0.0
828147fffffffff,9.0,0.0,2.0
82814ffffffffff,228.0,0.0,18.0
82815ffffffffff,38.0,0.0,3.0
828167fffffffff,2.0,0.0,0.0
828a07fffffffff,45.0,0.0,11.0
828a17fffffffff,36.0,0.0,1.0
828a1ffffffffff,20.0,0.0,3.0
828a27fffffffff,3.0,0.0,1.0
828a37fffffffff,2.0,0.0,0.0
828a47fffffffff,57.0,0.0,0.0
828a4ffffffffff,5.0,0.0,0.0
828a6ffffffffff,36.0,0.0,0.0
828a77fffffffff,4.0,0.0,0.0
828a87fffffffff,20.0,0.0,9.0
828a8ffffffffff,6.0,0.0,0.0
828a97fffffffff,4.0,0.0,0.0
828a9ffffffffff,8.0,0.0,0.0
828aaffffffffff,4.0,0.0,0.0
828adffffffffff,11.0,0.0,0.0
828af7fffffffff,360.0,28.0,5.0
828b0ffffffffff,4.0,0.0,0.0
828b27fffffffff,63.0,0.0,0.0
828b2ffffffffff,22.0,0.0,0.0
828b47fffffffff,61.0,0.0,0.0
828b57fffffffff,6.0,0.0,0.0
828b5ffffffffff,3.0,0.0,0.0
828b67fffffffff,1441.0,0.0,52.0
828b6ffffffffff,39.0,0.0,0.0
828b77fffffffff,110.0,0.0,0.0
828b87fffffffff,28.0,0.0,0.0
828b8ffffffffff,7.0,0.0,0.0
828b9ffffffffff,372.0,0.0,28.0
828ba7fffffffff,9.0,0.0,0.0
828bb7fffffffff,7.0,0.0,0.0
828e67fffffffff,27.0,0.0,0.0
828f47fffffffff,1330.0,0.0,0.0
828f4ffffffffff,22.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f5ffffffffff,6.0,0.0,0.0
828f6ffffffffff,8.0,0.0,0.0
828f77fffffffff,107.0,0.0,0.0
82a85ffffffffff,1.0,0.0,0.0
82a8cffffffffff,2.0,0.0,0.0
82b327fffffffff,30.0,0.0,0.0
