cell_id,Apalis flavida,Apalis flavida flavocincta/viridiceps,Apalis flavida [flavida Group]
8454e13ffffffff,3.0,0.0,0.0
8454ec5ffffffff,2.0,0.0,0.0
846a581ffffffff,5.0,5.0,0.0
846a587ffffffff,12.0,12.0,0.0
846a5a9ffffffff,2.0,2.0,0.0
846a5abffffffff,4.0,4.0,0.0
846aee3ffffffff,2.0,0.0,1.0
847a407ffffffff,1.0,1.0,0.0
847a413ffffffff,3.0,2.0,0.0
847a46dffffffff,6.0,6.0,0.0
847a609ffffffff,2.0,0.0,0.0
847a641ffffffff,1.0,1.0,0.0
847a683ffffffff,1.0,0.0,1.0
847a6a1ffffffff,3.0,0.0,0.0
847a6adffffffff,2.0,0.0,2.0
847a6e5ffffffff,4.0,0.0,2.0
847b4c1ffffffff,2.0,0.0,0.0
847b4c5ffffffff,15.0,0.0,3.0
847b4c7ffffffff,51.0,3.0,0.0
847b4cbffffffff,4.0,0.0,0.0
8497111ffffffff,1.0,0.0,1.0
8497139ffffffff,4.0,0.0,4.0
84972abffffffff,2.0,0.0,2.0
84bcf61ffffffff,1.0,0.0,0.0
