cell_id,Puffinus assimilis,Puffinus assimilis assimilis,Puffinus assimilis haurakiensis,Puffinus assimilis kermadecensis,Puffinus assimilis tunneyi
84a722bffffffff,16.0,0.0,0.0,0.0,0.0
84a726bffffffff,1.0,0.0,0.0,0.0,1.0
84b949dffffffff,1.0,0.0,0.0,0.0,1.0
84ba0c9ffffffff,1.0,1.0,0.0,0.0,0.0
84ba1a3ffffffff,6.0,0.0,0.0,0.0,0.0
84ba691ffffffff,1.0,0.0,0.0,0.0,0.0
84ba69dffffffff,39.0,16.0,0.0,0.0,0.0
84ba6c7ffffffff,1.0,1.0,0.0,0.0,0.0
84ba6e9ffffffff,1.0,1.0,0.0,0.0,0.0
84bb0b7ffffffff,2.0,0.0,0.0,0.0,0.0
84bb291ffffffff,2.0,0.0,0.0,0.0,0.0
84bb501ffffffff,1.0,0.0,0.0,0.0,0.0
84bb507ffffffff,7.0,0.0,1.0,0.0,0.0
84bb529ffffffff,69.0,10.0,0.0,0.0,0.0
84bb52bffffffff,3.0,1.0,1.0,0.0,0.0
84bb52dffffffff,6.0,0.0,0.0,0.0,0.0
84bb531ffffffff,26.0,0.0,0.0,0.0,0.0
84bb533ffffffff,180.0,23.0,1.0,0.0,0.0
84bb535ffffffff,3.0,0.0,0.0,0.0,0.0
84bb537ffffffff,135.0,23.0,5.0,0.0,0.0
84bb539ffffffff,47.0,13.0,0.0,0.0,0.0
84bb53bffffffff,12.0,0.0,0.0,0.0,0.0
84bb53dffffffff,41.0,1.0,15.0,0.0,0.0
84bb54bffffffff,4.0,0.0,0.0,0.0,0.0
84bb565ffffffff,7.0,0.0,0.0,0.0,0.0
84bb567ffffffff,14.0,0.0,0.0,0.0,0.0
84bb583ffffffff,3.0,3.0,0.0,0.0,0.0
84bb585ffffffff,1.0,0.0,1.0,0.0,0.0
84bb595ffffffff,1.0,0.0,1.0,0.0,0.0
84bb5e3ffffffff,1.0,0.0,1.0,0.0,0.0
84bb5e5ffffffff,11.0,0.0,11.0,0.0,0.0
84be369ffffffff,2.0,0.0,0.0,0.0,0.0
84bf2bbffffffff,3.0,0.0,0.0,0.0,0.0
84bf2c7ffffffff,2.0,0.0,0.0,0.0,0.0
84bf2cdffffffff,2.0,0.0,0.0,0.0,0.0
84bf713ffffffff,1.0,0.0,0.0,0.0,0.0
84bf8b9ffffffff,26.0,2.0,0.0,0.0,0.0
84c9833ffffffff,4.0,0.0,0.0,0.0,0.0
84c9837ffffffff,36.0,0.0,0.0,0.0,8.0
84c9845ffffffff,31.0,0.0,0.0,0.0,18.0
84c9847ffffffff,1.0,0.0,0.0,0.0,0.0
84c9869ffffffff,4.0,0.0,0.0,0.0,2.0
84c986bffffffff,2.0,0.0,0.0,0.0,2.0
84c99c1ffffffff,6.0,0.0,0.0,0.0,0.0
84c99cbffffffff,3.0,0.0,0.0,0.0,0.0
84c99ebffffffff,8.0,0.0,0.0,0.0,2.0
84c9b03ffffffff,16.0,0.0,0.0,0.0,0.0
84c9b0bffffffff,74.0,0.0,0.0,0.0,2.0
84c9b1dffffffff,19.0,0.0,0.0,0.0,0.0
