cell_id,Vireo gilvus,Vireo gilvus gilvus,Vireo gilvus [swainsoni Group]
820d4ffffffffff,3.0,0.0,0.0
82120ffffffffff,22.0,0.0,0.0
821217fffffffff,95.0,0.0,0.0
82121ffffffffff,569.0,0.0,0.0
821227fffffffff,3.0,0.0,0.0
82122ffffffffff,2.0,0.0,0.0
821237fffffffff,73.0,0.0,0.0
82124ffffffffff,62.0,0.0,0.0
821257fffffffff,163.0,0.0,0.0
82125ffffffffff,384.0,0.0,0.0
821277fffffffff,11.0,0.0,0.0
821287fffffffff,764.0,0.0,9.0
82128ffffffffff,1209.0,0.0,0.0
82129ffffffffff,110.0,0.0,2.0
8212a7fffffffff,43.0,0.0,0.0
8212affffffffff,1069.0,0.0,24.0
8212b7fffffffff,330.0,0.0,0.0
8212c7fffffffff,2277.0,0.0,102.0
8212cffffffffff,6956.0,2.0,396.0
8212d7fffffffff,3374.0,0.0,0.0
8212dffffffffff,6365.0,0.0,111.0
8212e7fffffffff,170.0,0.0,0.0
8212effffffffff,1347.0,6.0,0.0
8212f7fffffffff,841.0,0.0,46.0
821317fffffffff,6.0,0.0,0.0
821357fffffffff,5.0,0.0,0.0
821387fffffffff,900.0,0.0,0.0
82138ffffffffff,582.0,0.0,0.0
821397fffffffff,105.0,0.0,0.0
82139ffffffffff,294.0,0.0,0.0
8213a7fffffffff,3.0,0.0,0.0
8213affffffffff,2.0,0.0,0.0
8213b7fffffffff,18.0,0.0,0.0
822607fffffffff,1262.0,292.0,0.0
82260ffffffffff,3571.0,295.0,0.0
822617fffffffff,441.0,34.0,62.0
82261ffffffffff,632.0,89.0,0.0
822627fffffffff,2699.0,221.0,0.0
82262ffffffffff,4819.0,98.0,0.0
822637fffffffff,1037.0,187.0,0.0
822647fffffffff,7107.0,658.0,0.0
82264ffffffffff,2057.0,106.0,0.0
822657fffffffff,7650.0,463.0,0.0
82265ffffffffff,1691.0,73.0,0.0
822667fffffffff,21366.0,1703.0,0.0
82266ffffffffff,5279.0,829.0,0.0
822677fffffffff,3192.0,214.0,0.0
822687fffffffff,9224.0,0.0,1934.0
82268ffffffffff,9187.0,38.0,1774.0
822697fffffffff,6113.0,0.0,1894.0
82269ffffffffff,5626.0,0.0,1007.0
8226a7fffffffff,556.0,0.0,97.0
8226affffffffff,3487.0,500.0,63.0
8226b7fffffffff,1577.0,0.0,257.0
8226c7fffffffff,985.0,162.0,0.0
8226cffffffffff,658.0,6.0,0.0
8226d7fffffffff,390.0,0.0,3.0
8226dffffffffff,41.0,0.0,0.0
8226e7fffffffff,4360.0,238.0,0.0
8226effffffffff,1526.0,102.0,0.0
8226f7fffffffff,1673.0,226.0,5.0
822707fffffffff,1103.0,0.0,0.0
82270ffffffffff,766.0,83.0,0.0
822717fffffffff,1027.0,0.0,0.0
82271ffffffffff,1525.0,100.0,0.0
822747fffffffff,2850.0,74.0,0.0
82274ffffffffff,25248.0,305.0,0.0
822757fffffffff,3948.0,196.0,0.0
82275ffffffffff,20929.0,702.0,0.0
822767fffffffff,210.0,36.0,0.0
82276ffffffffff,5443.0,184.0,0.0
822777fffffffff,69.0,0.0,0.0
822787fffffffff,578.0,60.0,2.0
82278ffffffffff,735.0,74.0,79.0
822797fffffffff,1424.0,4.0,44.0
82279ffffffffff,873.0,0.0,37.0
8227a7fffffffff,933.0,0.0,0.0
8227affffffffff,1936.0,342.0,0.0
8227b7fffffffff,674.0,0.0,0.0
822807fffffffff,2695.0,0.0,489.0
822817fffffffff,5943.0,0.0,325.0
82281ffffffffff,3816.0,0.0,213.0
822837fffffffff,28580.0,0.0,2837.0
822887fffffffff,4928.0,0.0,19.0
82288ffffffffff,4215.0,0.0,194.0
822897fffffffff,3943.0,0.0,480.0
82289ffffffffff,2857.0,0.0,110.0
8228a7fffffffff,783.0,0.0,75.0
8228affffffffff,4319.0,0.0,382.0
8228b7fffffffff,2007.0,0.0,337.0
8228c7fffffffff,937.0,0.0,116.0
