cell_id,Lepidothrix coronata,Lepidothrix coronata [coronata Group],Lepidothrix coronata [exquisita Group]
845f68bffffffff,5.0,0.0,0.0
845f711ffffffff,4.0,0.0,0.0
845f755ffffffff,1.0,0.0,0.0
845f759ffffffff,48.0,0.0,0.0
845f75dffffffff,2.0,0.0,0.0
8466411ffffffff,5.0,0.0,0.0
8466415ffffffff,4.0,0.0,0.0
846641dffffffff,2.0,0.0,0.0
8466485ffffffff,3.0,0.0,0.0
8466487ffffffff,2.0,0.0,0.0
84664d5ffffffff,2.0,0.0,0.0
84664e1ffffffff,2.0,0.0,0.0
84664e9ffffffff,5.0,0.0,0.0
84665a3ffffffff,9.0,0.0,0.0
84665a7ffffffff,2.0,0.0,0.0
84665abffffffff,255.0,1.0,0.0
84665bdffffffff,304.0,0.0,0.0
84665e9ffffffff,33.0,0.0,0.0
84666a1ffffffff,4.0,0.0,0.0
84666b3ffffffff,4.0,0.0,0.0
84666b9ffffffff,2.0,0.0,0.0
8466c01ffffffff,39.0,0.0,0.0
8466c05ffffffff,20.0,0.0,0.0
8466c0dffffffff,24.0,0.0,0.0
8466c15ffffffff,4.0,0.0,0.0
8466c19ffffffff,12.0,0.0,0.0
8466c21ffffffff,101.0,0.0,0.0
8466c23ffffffff,47.0,0.0,0.0
8466c27ffffffff,12.0,0.0,0.0
8466c29ffffffff,21.0,0.0,0.0
8466c2bffffffff,26.0,0.0,0.0
8466c2dffffffff,6.0,0.0,0.0
8466c35ffffffff,7.0,0.0,0.0
8466c53ffffffff,9.0,0.0,0.0
8466c57ffffffff,47.0,0.0,0.0
8466c5bffffffff,1.0,0.0,0.0
8466c5dffffffff,25.0,0.0,0.0
8466c95ffffffff,17.0,0.0,0.0
8466cc5ffffffff,5.0,0.0,0.0
8466cd1ffffffff,4.0,0.0,0.0
8466cdbffffffff,6.0,0.0,0.0
8466ce5ffffffff,2.0,0.0,0.0
8466ce9ffffffff,68.0,0.0,0.0
8466cedffffffff,10.0,0.0,0.0
8466d13ffffffff,18.0,2.0,0.0
8466d1bffffffff,275.0,0.0,0.0
8466d81ffffffff,130.0,5.0,0.0
8466d8bffffffff,4.0,0.0,0.0
8466d8dffffffff,11.0,0.0,0.0
8466da1ffffffff,1.0,0.0,0.0
8466da3ffffffff,3.0,0.0,0.0
8466da9ffffffff,11.0,0.0,0.0
8466dadffffffff,2.0,0.0,0.0
8466db1ffffffff,13.0,0.0,0.0
8466db5ffffffff,2.0,0.0,0.0
8466dc3ffffffff,407.0,39.0,0.0
8466dc7ffffffff,12.0,0.0,0.0
8466dc9ffffffff,2.0,0.0,0.0
8466dcbffffffff,6.0,0.0,0.0
8466dd1ffffffff,2.0,0.0,0.0
8466dd3ffffffff,2.0,0.0,0.0
8466dd5ffffffff,37.0,4.0,0.0
8466dd7ffffffff,10.0,0.0,0.0
8466dd9ffffffff,4.0,0.0,0.0
8466dddffffffff,10.0,4.0,0.0
8466de3ffffffff,192.0,19.0,0.0
8466de7ffffffff,10.0,0.0,0.0
8466debffffffff,89.0,5.0,0.0
8466e0bffffffff,8.0,0.0,0.0
8466e15ffffffff,33.0,0.0,0.0
8466e37ffffffff,2.0,0.0,0.0
8466e39ffffffff,8.0,0.0,0.0
8466e3bffffffff,2.0,0.0,0.0
8466e81ffffffff,2.0,0.0,0.0
8466e89ffffffff,1.0,0.0,0.0
8466e8dffffffff,13.0,0.0,0.0
8466e9dffffffff,7.0,0.0,0.0
8466eadffffffff,11.0,0.0,0.0
8466ec3ffffffff,1.0,0.0,0.0
8466ec5ffffffff,10.0,0.0,0.0
8466ec7ffffffff,44.0,0.0,0.0
8466ecbffffffff,3.0,0.0,0.0
