cell_id,Knipolegus aterrimus,Knipolegus aterrimus heterogyna,Knipolegus aterrimus aterrimus/anthracinus
828b27fffffffff,330.0,0.0,0.0
828b2ffffffffff,194.0,0.0,0.0
828b37fffffffff,1.0,0.0,0.0
828b67fffffffff,190.0,0.0,9.0
828b6ffffffffff,404.0,0.0,12.0
828b77fffffffff,19.0,0.0,0.0
828e67fffffffff,65.0,0.0,0.0
828e6ffffffffff,379.0,0.0,8.0
828f57fffffffff,160.0,0.0,0.0
828f5ffffffffff,16.0,0.0,0.0
82a86ffffffffff,1.0,0.0,0.0
82b20ffffffffff,61.0,0.0,0.0
82b22ffffffffff,21.0,0.0,0.0
82b247fffffffff,64.0,0.0,0.0
82b24ffffffffff,64.0,0.0,0.0
82b257fffffffff,43.0,0.0,0.0
82b25ffffffffff,170.0,0.0,0.0
82b267fffffffff,38.0,0.0,0.0
82b26ffffffffff,3.0,0.0,0.0
82b277fffffffff,85.0,0.0,0.0
82b2cffffffffff,26.0,0.0,0.0
82b2e7fffffffff,40.0,0.0,0.0
82b2effffffffff,270.0,0.0,0.0
82b327fffffffff,145.0,0.0,0.0
82b32ffffffffff,34.0,0.0,0.0
82b347fffffffff,231.0,0.0,0.0
82b34ffffffffff,2.0,0.0,0.0
82b357fffffffff,352.0,0.0,0.0
82b35ffffffffff,881.0,0.0,0.0
82b367fffffffff,30.0,0.0,0.0
82b36ffffffffff,4.0,0.0,0.0
82b377fffffffff,265.0,0.0,0.0
82c2cffffffffff,1.0,0.0,0.0
82c2e7fffffffff,6.0,0.0,0.0
82c307fffffffff,2.0,0.0,0.0
82c30ffffffffff,13.0,0.0,0.0
82c327fffffffff,49.0,0.0,0.0
82c32ffffffffff,112.0,0.0,0.0
82c347fffffffff,18.0,0.0,0.0
82c34ffffffffff,9.0,0.0,0.0
82c357fffffffff,1.0,0.0,0.0
82c367fffffffff,27.0,0.0,0.0
82c36ffffffffff,12.0,0.0,0.0
82c377fffffffff,138.0,0.0,0.0
82ce87fffffffff,8.0,0.0,0.0
82ce97fffffffff,84.0,0.0,0.0
82ce9ffffffffff,43.0,0.0,0.0
82cea7fffffffff,7.0,0.0,0.0
82ceb7fffffffff,10.0,0.0,0.0
