cell_id,Rhodinocichla rosea,Rhodinocichla rosea schistacea,Rhodinocichla rosea eximia,Rhodinocichla rosea [rosea Group]
8466129ffffffff,2.0,0.0,0.0,0.0
8466163ffffffff,3.0,0.0,0.0,0.0
846622bffffffff,1.0,0.0,0.0,0.0
8466a33ffffffff,2.0,0.0,0.0,0.0
8466b41ffffffff,4.0,0.0,0.0,0.0
8466b51ffffffff,4.0,0.0,0.0,0.0
8466b55ffffffff,2.0,0.0,0.0,0.0
8466b5bffffffff,4.0,0.0,0.0,0.0
8466e67ffffffff,2.0,0.0,0.0,0.0
8466e69ffffffff,2.0,0.0,0.0,0.0
8467437ffffffff,1.0,0.0,0.0,0.0
84674e5ffffffff,4.0,0.0,0.0,0.0
84675cbffffffff,2.0,0.0,0.0,0.0
