cell_id,Empidonax flavescens,Empidonax flavescens imperturbatus/salvini,Empidonax flavescens flavescens
834520fffffffff,166.0,0.0,0.0
834522fffffffff,13.0,0.0,0.0
834524fffffffff,365.0,0.0,0.0
834525fffffffff,126.0,0.0,0.0
834526fffffffff,261.0,0.0,0.0
834530fffffffff,7.0,0.0,0.0
834534fffffffff,29.0,0.0,0.0
834535fffffffff,199.0,0.0,0.0
8366a2fffffffff,26.0,0.0,0.0
8366b4fffffffff,4989.0,0.0,0.0
8366b5fffffffff,1365.0,0.0,0.0
83679afffffffff,12.0,0.0,0.0
836d05fffffffff,830.0,0.0,0.0
836d20fffffffff,97.0,0.0,0.0
836d21fffffffff,34.0,0.0,0.0
836d23fffffffff,404.0,0.0,0.0
836d28fffffffff,346.0,0.0,0.0
836d29fffffffff,553.0,0.0,0.0
836d2afffffffff,268.0,0.0,0.0
836d2bfffffffff,715.0,0.0,0.0
836d2cfffffffff,19.0,0.0,0.0
836d2dfffffffff,1370.0,0.0,0.0
836d2efffffffff,32.0,0.0,0.0
836d34fffffffff,21.0,0.0,0.0
836d35fffffffff,115.0,0.0,0.0
836d60fffffffff,73.0,0.0,0.0
836d61fffffffff,3.0,0.0,0.0
836d64fffffffff,598.0,0.0,0.0
836d65fffffffff,361.0,0.0,0.0
836d66fffffffff,242.0,0.0,0.0
836d68fffffffff,84.0,0.0,0.0
836d69fffffffff,6144.0,0.0,0.0
836d74fffffffff,129.0,0.0,0.0
836d75fffffffff,1.0,0.0,0.0
